packet_4K_reno_0_40.txt  均值=4.142733333333333  方差=0.6505598622222223  ['4.50', '4.75', '4.75', '4.75', '4.50', '4.38', '4.12', '4.50', '1.88', '2.50', '4.25', '4.50', '4.38', '4.38', '4.25', '4.38', '4.50', '4.50', '4.38', '4.38', '4.25', '4.38', '4.38', '1.88', '1.88', '4.25', '4.50', '4.62', '4.50', '4.38', '4.50', '4.38', '4.50', '4.62', '4.50', '4.25', '4.62', '4.75', '2.50', '3.12', '3.50', '4.50', '4.50', '4.50', '4.62', '4.50', '4.50', '4.62', '4.62', '4.62', '4.50', '4.62', '4.50', '1.75', '2.12', '4.62', '4.75', '4.75', '4.75', '4.62', '4.38', '4.62', '4.50', '4.75', '4.62', '4.25', '4.50', '4.50', '2.88', '3.00', '2.75', '2.38', '3.00', '3.38', '4.25', '4.38', '4.25', '4.75', '4.62', '4.50', '4.12', '4.50', '4.50', '1.88', '2.50', '4.38', '4.62', '4.25', '4.50', '4.38', '4.50', '4.50', '4.50', '4.50', '4.75', '4.88', '4.50', '4.62', '1.50', '2.12', '4.50', '4.75', '4.38', '4.62', '4.50', '4.75', '4.38', '4.50', '4.50', '4.38', '4.50', '4.38', '4.75', '2.62', '3.25', '3.38', '4.50', '4.75', '4.38', '4.25', '4.38', '4.38', '4.62', '4.38', '4.62', '4.62', '4.62', '4.62', '1.88', '2.25', '4.38', '4.38', '4.38', '4.62', '4.50', '4.25', '4.50', '4.38', '4.50', '4.50', '4.75', '4.75', '4.75', '2.75', '2.88', '2.75', '3.00', '2.75', '3.88', '4.38', '4.50', '4.38', '4.50', '4.38', '4.62', '4.38', '4.50', '4.62', '2.38', '3.50', '3.38', '4.75', '4.62', '4.75', '4.75', '4.62', '4.75', '4.38', '4.12', '4.50', '4.38', '4.25', '4.38', '2.00', '2.25', '4.50', '4.50', '4.38', '4.62', '4.88', '4.50', '4.62', '4.88', '4.62', '4.62', '4.62', '4.75', '4.75', '2.25', '2.88', '2.62', '4.50', '4.62', '4.62', '4.38', '4.50', '4.12', '4.50', '4.50', '4.38', '4.38', '4.25', '4.50', '2.00', '2.75', '4.62', '4.62', '4.88', '4.50', '4.75', '4.38', '4.88', '4.50', '4.50', '4.38', '4.50', '4.38', '4.25', '2.25', '2.75', '3.00', '2.75', '2.75', '3.50', '4.62', '4.75', '4.88', '4.75', '4.62', '4.75', '4.62', '4.88', '4.75', '2.88', '3.12', '3.25', '4.50', '4.50', '4.50', '4.50', '4.62', '4.50', '4.75', '4.50', '4.38', '4.50', '4.75', '4.50', '2.00', '2.12', '4.75', '4.50', '4.50', '4.62', '4.88', '4.75', '4.62', '4.38', '4.50', '4.38', '4.50', '4.62', '4.38', '1.88', '2.38', '4.38', '4.38', '4.38', '4.62', '4.38', '4.50', '4.62', '4.38', '4.62', '4.62', '4.75', '4.50', '4.50', '2.50', '3.25', '3.12', '4.62', '4.38', '4.62', '4.50', '4.50', '4.38', '4.62', '4.50', '4.38', '4.62', '4.50', '4.62', '2.75', '2.50', '2.75', '3.00', '2.75', '4.38', '4.62']
packet_4K_reno_0_43.txt  均值=3.9539666666666666  方差=0.6061732655555555  ['4.00', '4.25', '4.25', '4.38', '4.25', '4.62', '4.50', '3.38', '3.00', '2.88', '3.38', '4.38', '4.50', '4.50', '4.50', '4.62', '4.38', '4.25', '4.38', '4.25', '4.12', '4.25', '2.62', '1.75', '4.50', '4.38', '4.50', '4.50', '4.12', '4.38', '4.38', '4.62', '4.25', '4.25', '4.38', '4.25', '4.38', '3.00', '1.62', '2.25', '4.38', '4.62', '4.62', '4.62', '4.38', '4.25', '4.38', '4.38', '4.50', '4.50', '4.50', '4.25', '3.25', '2.62', '3.25', '3.38', '4.38', '4.25', '4.25', '4.25', '4.25', '4.25', '4.38', '4.50', '4.62', '4.62', '4.25', '3.38', '3.00', '2.62', '2.50', '2.62', '2.62', '4.38', '4.25', '4.12', '4.25', '4.25', '4.25', '4.38', '4.12', '4.38', '2.62', '1.50', '4.25', '4.50', '4.38', '4.50', '4.25', '4.38', '4.12', '4.38', '4.25', '4.25', '4.38', '4.25', '4.50', '3.25', '1.75', '3.25', '4.50', '4.50', '4.12', '4.38', '4.50', '4.62', '4.50', '4.38', '4.12', '4.25', '4.25', '4.25', '2.75', '1.62', '4.12', '4.38', '4.38', '4.50', '4.62', '4.38', '4.50', '4.50', '4.38', '4.50', '4.62', '4.62', '4.62', '2.75', '1.38', '3.38', '4.25', '4.38', '4.12', '4.25', '4.12', '4.25', '4.38', '4.25', '4.12', '4.12', '4.00', '4.25', '3.25', '3.00', '2.50', '2.62', '2.75', '2.62', '4.25', '4.25', '4.12', '4.25', '4.38', '4.25', '4.25', '4.38', '4.12', '3.12', '1.50', '3.25', '4.25', '4.38', '4.50', '4.38', '4.25', '4.25', '4.25', '4.25', '4.12', '4.25', '4.25', '4.38', '2.75', '1.75', '3.00', '4.00', '4.38', '4.50', '4.38', '4.50', '4.38', '4.50', '4.50', '4.62', '4.50', '4.50', '4.38', '2.88', '1.62', '4.25', '4.25', '4.25', '4.25', '4.38', '4.25', '4.25', '4.38', '4.38', '4.25', '4.25', '4.50', '4.62', '3.38', '2.75', '3.00', '3.50', '4.38', '4.38', '4.25', '4.50', '4.50', '4.50', '4.12', '4.38', '4.25', '4.38', '4.25', '3.12', '2.12', '1.75', '1.88', '3.25', '4.62', '4.25', '4.00', '4.12', '4.25', '4.25', '4.25', '4.25', '4.38', '4.25', '3.38', '2.38', '2.88', '3.75', '4.12', '4.38', '4.12', '4.25', '4.25', '4.38', '4.38', '4.50', '4.38', '4.25', '4.25', '2.88', '1.50', '3.62', '4.38', '4.25', '4.50', '4.38', '4.62', '4.12', '4.25', '4.25', '4.12', '4.25', '4.38', '4.12', '2.62', '1.62', '3.50', '4.25', '4.25', '4.25', '4.25', '4.25', '4.25', '4.38', '4.50', '4.38', '4.25', '4.25', '4.25', '3.00', '1.75', '3.75', '4.50', '4.38', '4.50', '4.38', '4.50', '4.62', '4.50', '4.50', '4.12', '4.50', '4.25', '4.25', '2.62', '2.25', '2.12', '2.00', '3.25', '4.25', '4.38', '4.50']
packet_4K_reno_0_7.txt  均值=3.757633333333333  方差=0.3493653988888889  ['3.88', '4.00', '3.88', '4.25', '3.25', '2.50', '3.00', '3.50', '4.12', '3.88', '4.00', '4.25', '4.00', '4.25', '4.25', '4.00', '4.00', '4.00', '4.12', '3.25', '2.38', '3.50', '4.25', '4.12', '4.12', '4.12', '4.00', '4.12', '4.12', '4.25', '4.12', '4.00', '4.25', '4.00', '2.62', '2.88', '2.75', '4.12', '4.00', '4.12', '4.00', '4.00', '4.12', '4.00', '4.00', '4.00', '4.12', '4.12', '4.00', '2.88', '2.50', '3.50', '4.12', '4.12', '4.00', '4.12', '4.00', '4.12', '4.12', '4.00', '4.12', '4.12', '4.00', '3.75', '3.12', '2.75', '2.25', '2.75', '2.12', '3.12', '3.88', '4.00', '4.00', '4.25', '4.00', '4.38', '3.88', '4.12', '4.12', '3.00', '2.38', '3.38', '4.00', '4.12', '4.12', '4.00', '3.88', '4.12', '3.88', '3.88', '4.00', '4.00', '4.25', '4.00', '2.88', '2.75', '2.75', '4.25', '4.00', '4.25', '4.00', '4.12', '4.12', '4.12', '3.88', '4.12', '4.25', '4.12', '4.00', '3.00', '2.50', '3.38', '4.12', '4.00', '4.12', '4.25', '4.00', '4.12', '4.00', '4.25', '4.00', '4.12', '4.12', '4.25', '2.88', '2.50', '2.62', '4.00', '4.25', '4.12', '4.00', '4.00', '4.25', '4.00', '4.12', '4.12', '3.88', '4.25', '4.12', '3.00', '2.50', '2.62', '2.12', '2.50', '3.62', '4.00', '4.12', '4.00', '4.12', '3.88', '4.12', '4.12', '4.12', '4.12', '2.75', '2.50', '2.88', '4.12', '4.12', '4.00', '3.88', '4.12', '4.12', '4.12', '4.00', '4.00', '4.12', '4.12', '4.00', '2.88', '2.38', '2.38', '4.00', '4.25', '4.12', '4.12', '4.12', '4.25', '4.12', '4.12', '4.12', '4.00', '4.12', '4.12', '2.88', '2.50', '3.00', '3.88', '4.12', '4.00', '4.00', '4.00', '4.00', '4.12', '4.25', '4.25', '4.12', '4.12', '4.12', '3.12', '2.12', '3.00', '4.25', '4.12', '4.12', '3.88', '4.12', '4.25', '4.00', '4.12', '4.25', '4.12', '4.00', '4.12', '2.88', '2.38', '2.62', '2.62', '2.50', '3.38', '4.12', '4.12', '4.00', '4.25', '4.00', '4.12', '4.25', '4.12', '4.25', '2.75', '2.62', '2.75', '3.88', '4.12', '3.88', '4.12', '4.00', '4.12', '4.00', '4.25', '4.00', '4.12', '4.12', '4.12', '2.88', '2.50', '2.88', '4.00', '3.88', '4.12', '4.00', '4.12', '4.12', '4.12', '4.12', '4.00', '4.12', '4.25', '4.12', '3.00', '2.62', '2.75', '3.88', '4.00', '3.88', '3.88', '4.12', '4.00', '3.88', '3.75', '4.12', '4.12', '4.12', '4.00', '2.88', '2.38', '2.88', '4.12', '4.00', '4.12', '4.12', '4.00', '4.00', '4.00', '4.12', '4.00', '4.00', '4.12', '4.00', '2.88', '2.38', '2.25', '2.50', '2.50', '3.50', '4.00', '4.12', '4.00', '4.12', '3.88']
packet_4K_reno_1_18.txt  均值=4.462433333333333  方差=0.7148657455555555  ['3.75', '4.38', '2.88', '3.50', '3.12', '5.00', '4.62', '5.00', '4.88', '4.75', '4.75', '5.25', '5.25', '4.88', '4.88', '4.75', '5.12', '2.62', '3.50', '3.75', '4.88', '4.75', '5.00', '5.00', '5.12', '4.62', '5.00', '4.88', '5.00', '4.88', '4.88', '5.00', '3.50', '3.38', '3.12', '3.00', '3.00', '3.88', '4.88', '5.00', '4.75', '4.88', '4.62', '4.50', '4.75', '5.00', '4.75', '3.00', '3.00', '3.50', '5.00', '5.00', '5.12', '4.88', '4.75', '4.75', '4.75', '4.88', '4.88', '5.25', '5.25', '5.25', '2.88', '3.12', '2.75', '4.00', '4.38', '5.00', '4.75', '4.88', '4.88', '5.25', '5.25', '5.25', '4.75', '4.88', '4.75', '2.88', '3.12', '2.75', '4.75', '4.88', '4.75', '5.25', '5.12', '5.25', '4.88', '4.75', '5.00', '5.25', '4.75', '4.88', '2.75', '3.25', '3.25', '4.62', '4.88', '4.88', '4.62', '4.75', '4.88', '4.88', '5.00', '4.88', '5.12', '5.25', '5.38', '2.88', '3.12', '3.00', '2.75', '2.75', '3.38', '5.00', '4.62', '4.38', '4.75', '5.00', '5.00', '4.88', '4.88', '4.50', '2.88', '2.75', '2.25', '4.88', '5.62', '5.25', '5.12', '5.00', '5.25', '4.88', '4.88', '4.88', '4.88', '4.62', '4.88', '2.75', '3.25', '2.88', '4.38', '5.25', '4.75', '5.00', '4.88', '5.00', '4.62', '4.88', '4.12', '4.88', '4.75', '4.75', '2.75', '3.50', '3.00', '4.25', '4.75', '4.88', '4.62', '4.88', '4.50', '4.88', '4.25', '4.75', '5.00', '5.25', '4.88', '3.00', '3.38', '3.00', '5.00', '4.88', '4.62', '4.62', '5.00', '4.75', '5.38', '5.25', '5.12', '5.00', '5.12', '5.12', '3.38', '3.00', '2.75', '3.00', '3.25', '3.62', '5.12', '5.12', '5.12', '5.00', '5.12', '5.12', '5.12', '4.88', '4.88', '2.62', '3.38', '3.00', '5.00', '5.25', '5.12', '4.50', '4.75', '4.50', '4.62', '4.75', '4.88', '5.25', '5.38', '4.62', '2.75', '3.50', '2.62', '3.38', '4.62', '4.75', '5.00', '4.75', '4.88', '5.00', '5.00', '4.88', '5.12', '5.12', '5.00', '2.50', '3.12', '3.00', '4.12', '5.00', '5.00', '5.00', '5.00', '5.00', '4.88', '5.12', '5.12', '5.38', '5.12', '5.12', '3.12', '3.38', '3.00', '5.50', '5.38', '5.38', '4.75', '4.88', '4.88', '5.12', '4.88', '4.75', '4.88', '5.00', '4.62', '3.25', '3.12', '3.38', '2.25', '2.38', '3.12', '4.88', '5.00', '5.12', '4.88', '4.88', '4.75', '5.00', '5.38', '5.00', '2.50', '3.50', '3.38', '5.62', '5.25', '4.62', '5.00', '5.12', '5.12', '4.88', '5.00', '4.50', '4.62', '4.88', '4.88', '3.00', '2.88', '3.25', '5.12', '5.12', '5.00', '5.12', '5.00', '4.75', '5.00', '4.88', '5.00', '5.12']
packet_4K_reno_1_21.txt  均值=4.856133333333334  方差=0.7907583822222223  ['3.38', '3.25', '5.00', '5.12', '5.00', '5.38', '5.50', '5.25', '5.38', '5.38', '5.25', '5.12', '5.38', '4.12', '3.50', '3.38', '4.25', '6.00', '6.00', '5.75', '5.62', '5.00', '5.25', '5.38', '5.38', '5.25', '5.38', '5.25', '4.00', '3.62', '3.00', '4.62', '5.25', '5.38', '5.00', '5.75', '5.12', '5.12', '5.38', '5.00', '5.00', '5.62', '5.50', '4.62', '2.88', '3.25', '4.50', '5.25', '5.38', '5.38', '5.75', '5.88', '5.62', '5.88', '5.88', '5.75', '5.12', '5.12', '4.25', '3.00', '3.12', '3.00', '3.25', '4.00', '5.12', '5.62', '5.62', '5.62', '5.25', '5.50', '5.25', '5.12', '5.12', '4.25', '3.62', '3.12', '3.88', '5.12', '5.38', '5.00', '5.12', '5.50', '5.12', '5.50', '5.50', '5.50', '5.25', '5.25', '3.88', '2.62', '3.25', '4.00', '5.38', '5.38', '5.50', '5.50', '5.75', '5.00', '5.75', '5.38', '5.50', '5.12', '5.00', '4.12', '3.12', '3.12', '3.25', '5.00', '5.25', '5.12', '5.50', '5.75', '5.25', '5.25', '5.12', '4.88', '5.38', '5.38', '4.25', '3.25', '3.25', '4.88', '5.00', '5.00', '5.50', '5.62', '5.25', '5.38', '5.38', '5.00', '5.50', '5.12', '5.00', '4.12', '3.50', '3.25', '2.88', '2.88', '3.62', '5.38', '5.50', '5.12', '5.50', '5.38', '5.50', '5.25', '5.38', '5.38', '4.12', '3.00', '3.38', '5.25', '5.62', '5.12', '5.38', '5.62', '5.50', '5.12', '5.38', '5.25', '5.25', '5.25', '5.12', '4.12', '3.00', '3.25', '3.12', '5.38', '5.38', '5.25', '5.50', '5.75', '5.75', '5.38', '5.12', '5.38', '5.25', '5.38', '4.12', '3.00', '3.50', '5.50', '5.75', '5.75', '5.50', '5.25', '5.50', '5.12', '4.75', '5.12', '5.00', '5.25', '5.38', '3.75', '3.12', '3.25', '4.00', '4.50', '5.00', '5.12', '5.25', '5.38', '5.38', '5.25', '5.50', '5.25', '5.62', '5.50', '3.88', '3.12', '2.88', '3.00', '3.38', '4.00', '5.25', '5.38', '5.38', '5.38', '5.62', '5.50', '5.38', '5.25', '5.12', '4.00', '3.12', '2.88', '3.62', '5.12', '5.12', '5.25', '5.75', '5.62', '5.38', '4.62', '5.12', '4.88', '5.00', '4.62', '4.12', '3.25', '3.25', '5.88', '5.25', '5.12', '5.25', '5.38', '5.50', '5.25', '5.75', '5.25', '5.50', '5.50', '5.12', '4.00', '2.75', '2.88', '4.50', '5.50', '5.38', '5.62', '5.62', '5.62', '5.62', '5.75', '5.50', '5.62', '6.12', '5.88', '4.75', '3.25', '3.00', '4.75', '5.62', '5.62', '5.50', '5.75', '5.62', '5.38', '5.50', '5.12', '5.50', '5.50', '5.38', '4.25', '3.12', '3.00', '3.00', '3.75', '3.75', '5.50', '5.38', '5.38', '5.38', '5.38', '5.25', '5.75', '5.88', '5.38', '4.50', '3.88']
packet_4K_reno_1_30.txt  均值=4.233966666666666  方差=0.5125372655555557  ['4.75', '5.12', '5.12', '4.75', '3.50', '2.25', '2.38', '2.12', '3.62', '4.50', '4.75', '4.25', '4.50', '4.75', '5.00', '4.88', '4.38', '4.75', '4.75', '3.62', '2.25', '3.88', '4.62', '4.50', '4.75', '4.75', '4.75', '5.12', '4.62', '4.62', '4.75', '5.00', '5.00', '5.00', '3.88', '2.75', '3.12', '4.12', '5.00', '4.62', '4.62', '4.50', '4.25', '4.25', '4.38', '4.50', '4.50', '4.50', '4.50', '4.12', '2.25', '2.88', '4.12', '4.62', '4.50', '4.88', '4.50', '4.75', '4.75', '4.75', '4.62', '4.75', '4.62', '4.62', '3.88', '2.50', '2.62', '4.50', '4.38', '4.62', '4.25', '4.38', '4.12', '4.62', '3.88', '4.00', '4.50', '4.75', '4.75', '3.88', '3.12', '3.00', '3.12', '2.62', '3.62', '4.62', '4.88', '4.62', '4.50', '4.75', '4.62', '4.62', '4.75', '4.38', '3.62', '2.62', '3.12', '4.62', '4.75', '4.75', '4.62', '4.62', '4.62', '4.50', '4.62', '4.50', '4.75', '4.50', '4.25', '3.88', '2.38', '3.50', '4.25', '4.38', '4.75', '5.00', '4.62', '5.00', '5.00', '4.88', '4.75', '4.62', '4.62', '4.62', '3.88', '2.75', '2.62', '4.50', '4.38', '4.50', '4.62', '4.75', '4.38', '4.25', '4.25', '4.75', '4.12', '4.38', '4.50', '3.88', '3.00', '3.25', '4.38', '4.62', '4.50', '4.38', '4.62', '4.62', '4.50', '4.25', '4.25', '4.38', '4.38', '4.88', '3.62', '3.12', '2.88', '3.12', '2.50', '3.00', '4.50', '4.38', '4.62', '4.38', '4.12', '4.50', '4.88', '4.62', '4.75', '4.00', '2.75', '2.88', '4.00', '3.88', '4.12', '4.88', '4.62', '4.25', '3.25', '4.62', '4.50', '4.50', '4.50', '4.62', '4.00', '1.62', '2.75', '4.88', '4.25', '4.50', '4.88', '4.88', '4.62', '4.62', '4.38', '4.62', '4.62', '4.50', '4.38', '3.88', '2.50', '3.38', '4.50', '4.62', '4.38', '4.50', '4.75', '4.88', '5.00', '4.50', '4.50', '4.62', '4.62', '4.38', '3.50', '2.75', '3.00', '4.62', '4.62', '4.38', '4.62', '4.62', '4.50', '4.88', '4.75', '4.38', '4.62', '4.75', '4.38', '3.12', '2.88', '2.75', '3.12', '2.50', '4.25', '4.88', '4.88', '4.75', '4.88', '5.00', '4.62', '4.50', '4.50', '4.12', '3.75', '2.50', '3.12', '4.50', '4.62', '4.62', '4.62', '4.50', '4.50', '4.50', '4.62', '4.50', '4.62', '4.62', '5.00', '3.88', '2.88', '2.62', '4.00', '4.75', '4.50', '4.50', '4.50', '4.75', '4.62', '4.75', '4.75', '4.62', '4.75', '4.62', '3.75', '2.62', '3.25', '4.75', '4.88', '4.62', '4.50', '4.25', '4.38', '4.62', '4.88', '4.62', '4.50', '4.62', '4.62', '3.62', '2.25', '4.62', '5.12', '4.75', '4.38', '4.75', '4.62', '4.25', '4.25', '4.00']
packet_4K_reno_1_60.txt  均值=3.811816666666667  方差=0.45796878305555555  ['3.50', '4.25', '4.00', '4.25', '4.00', '4.00', '4.12', '4.00', '4.00', '3.88', '4.00', '3.88', '3.50', '2.12', '2.62', '3.62', '4.25', '4.12', '3.88', '4.12', '4.25', '4.25', '4.38', '4.38', '4.38', '4.25', '4.12', '3.88', '2.62', '2.88', '3.50', '4.12', '4.00', '4.00', '3.88', '3.75', '4.00', '3.88', '4.00', '3.88', '4.12', '4.12', '3.50', '2.25', '2.62', '3.38', '4.12', '3.88', '4.25', '3.75', '4.25', '4.12', '4.00', '4.00', '4.12', '4.12', '4.12', '3.75', '2.62', '2.50', '2.50', '2.50', '2.38', '3.88', '4.25', '4.25', '3.88', '4.12', '4.12', '4.00', '4.00', '3.88', '3.50', '2.38', '2.38', '4.12', '4.12', '4.25', '3.88', '4.00', '4.00', '4.12', '4.12', '4.12', '4.00', '4.50', '4.12', '3.38', '2.38', '2.50', '4.12', '4.00', '4.12', '4.00', '4.12', '4.12', '4.12', '4.12', '4.00', '4.00', '4.12', '3.75', '3.75', '2.38', '2.62', '3.25', '4.12', '3.88', '4.00', '4.12', '4.12', '4.12', '4.00', '4.25', '4.25', '4.00', '4.00', '3.38', '2.38', '2.62', '4.00', '3.88', '4.00', '4.25', '4.12', '4.12', '3.88', '4.25', '4.12', '4.25', '4.38', '4.38', '3.62', '2.88', '2.88', '2.25', '2.75', '3.00', '4.38', '4.25', '4.12', '4.25', '4.12', '4.25', '4.12', '4.38', '4.25', '3.88', '2.50', '2.75', '3.12', '4.25', '4.12', '4.12', '4.25', '4.12', '4.12', '4.00', '4.25', '4.12', '4.38', '4.25', '3.75', '2.50', '2.75', '3.00', '4.25', '4.25', '4.12', '4.00', '4.12', '3.88', '4.25', '4.38', '4.38', '4.00', '4.12', '3.62', '0.875', '3.38', '4.12', '4.38', '4.25', '4.38', '4.25', '4.38', '4.38', '4.38', '4.25', '4.12', '4.25', '4.00', '3.75', '2.38', '2.50', '3.38', '4.25', '4.50', '4.38', '4.25', '4.12', '4.25', '4.25', '4.12', '4.12', '4.25', '4.50', '3.25', '1.50', '2.00', '1.75', '2.75', '4.12', '4.12', '4.38', '4.38', '4.25', '4.38', '4.25', '4.50', '4.00', '4.12', '3.75', '2.50', '2.62', '3.88', '4.38', '4.38', '4.25', '4.38', '4.38', '4.38', '4.25', '4.12', '4.12', '4.00', '4.00', '3.38', '1.62', '2.62', '4.00', '4.25', '4.25', '4.38', '4.12', '4.12', '4.25', '4.12', '4.12', '4.25', '4.12', '4.12', '3.62', '2.62', '2.75', '4.25', '4.25', '4.12', '4.12', '4.25', '4.00', '4.25', '4.25', '4.25', '4.25', '4.50', '4.38', '3.75', '2.62', '2.50', '3.38', '4.12', '4.12', '4.12', '4.12', '3.88', '4.25', '4.25', '4.38', '4.50', '4.25', '4.00', '3.12', '2.12', '1.88', '1.88', '2.88', '4.25', '4.38', '4.38', '4.25', '4.38', '4.38', '4.25', '4.25', '4.25', '4.25', '3.75', '2.50', '2.75']
packet_4K_reno_1_61.txt  均值=3.7199  方差=0.3448016566666666  ['3.88', '4.38', '3.88', '4.00', '4.12', '3.88', '4.00', '3.75', '4.00', '4.12', '4.38', '2.50', '2.88', '3.38', '4.25', '3.88', '3.88', '3.75', '4.00', '3.88', '4.25', '4.12', '4.12', '3.50', '3.88', '4.12', '2.38', '2.88', '3.50', '4.25', '4.00', '4.12', '4.00', '3.75', '4.00', '4.00', '4.00', '4.00', '4.00', '4.25', '4.12', '2.38', '2.62', '3.62', '3.88', '3.88', '4.12', '4.00', '3.88', '4.00', '4.12', '4.00', '4.12', '4.00', '4.00', '4.00', '2.88', '2.62', '2.62', '2.75', '2.25', '3.12', '4.12', '3.88', '4.00', '3.75', '4.00', '4.25', '4.12', '3.62', '4.12', '2.50', '2.50', '3.12', '4.00', '3.75', '3.88', '3.62', '3.75', '4.12', '4.00', '4.12', '4.00', '3.75', '3.62', '4.12', '2.25', '2.75', '3.62', '4.00', '3.62', '3.88', '3.75', '4.38', '3.88', '3.75', '4.00', '3.88', '4.00', '4.00', '4.12', '2.62', '2.38', '3.38', '4.00', '4.25', '4.25', '4.38', '4.12', '4.25', '4.12', '4.25', '4.12', '4.00', '3.75', '3.88', '2.75', '2.62', '3.88', '4.12', '4.00', '4.12', '4.12', '4.00', '4.12', '4.00', '3.88', '4.12', '4.00', '4.12', '4.12', '2.75', '2.38', '2.75', '2.25', '2.50', '3.38', '4.38', '4.25', '4.12', '4.00', '3.75', '4.00', '4.12', '4.00', '3.88', '2.00', '2.88', '3.50', '4.12', '4.25', '4.00', '3.88', '4.00', '4.25', '4.00', '4.00', '3.88', '3.88', '4.00', '4.00', '2.62', '2.50', '3.75', '3.75', '3.75', '4.00', '4.00', '3.75', '4.00', '4.12', '4.12', '4.12', '4.00', '3.88', '4.00', '2.50', '2.62', '3.88', '4.25', '4.00', '4.00', '4.00', '4.00', '3.88', '3.75', '3.75', '3.88', '3.88', '4.00', '4.12', '2.25', '2.88', '3.75', '3.88', '3.62', '3.88', '4.25', '4.12', '3.88', '3.75', '4.00', '4.00', '4.12', '4.12', '4.00', '2.62', '2.75', '2.38', '2.50', '2.12', '2.88', '4.00', '4.00', '3.88', '4.00', '3.88', '3.88', '4.00', '3.88', '3.88', '2.50', '2.38', '2.75', '4.00', '4.00', '3.88', '4.00', '4.12', '4.00', '4.00', '4.00', '4.00', '3.75', '3.75', '3.75', '2.38', '2.50', '3.75', '4.25', '4.25', '4.38', '4.12', '4.00', '4.00', '4.25', '4.00', '4.12', '4.12', '4.12', '4.00', '2.38', '3.25', '3.75', '4.12', '4.25', '4.00', '4.25', '4.00', '4.12', '4.12', '4.25', '3.88', '3.75', '3.88', '4.00', '2.50', '2.62', '2.62', '4.00', '4.00', '4.12', '3.75', '4.00', '4.00', '4.12', '3.88', '4.25', '4.25', '3.88', '4.00', '2.88', '2.62', '2.25', '2.75', '2.25', '3.12', '4.12', '4.12', '4.38', '4.38', '4.25', '4.00', '4.00', '3.88', '4.12', '2.62', '2.62', '3.75', '4.38']
packet_8K_reno_0_1.txt  均值=4.158933333333334  方差=0.4850055288888889  ['3.00', '4.75', '4.75', '4.50', '4.62', '4.50', '4.38', '4.25', '4.50', '4.62', '4.62', '4.75', '4.62', '4.25', '2.38', '3.12', '4.12', '4.50', '4.50', '4.38', '4.50', '4.62', '4.50', '4.62', '4.62', '4.50', '4.75', '4.50', '4.38', '2.88', '2.75', '2.38', '2.88', '2.88', '4.62', '4.62', '4.50', '4.38', '4.38', '4.25', '4.38', '4.50', '4.25', '4.38', '2.50', '2.88', '4.25', '4.38', '4.25', '4.25', '4.38', '4.50', '4.38', '4.25', '3.88', '3.75', '4.38', '4.25', '4.25', '2.38', '2.75', '4.38', '4.62', '4.50', '4.25', '4.38', '4.25', '4.38', '4.62', '4.62', '4.62', '4.62', '4.50', '4.62', '2.75', '2.38', '4.50', '4.50', '4.62', '4.62', '4.62', '4.62', '4.62', '4.50', '4.62', '4.62', '4.50', '4.62', '4.62', '2.38', '2.75', '4.50', '4.38', '4.62', '4.50', '4.38', '4.50', '4.38', '4.38', '4.50', '4.50', '4.50', '4.38', '4.12', '2.50', '2.62', '2.62', '2.50', '3.50', '4.88', '4.75', '4.62', '4.62', '4.50', '4.38', '4.50', '4.88', '4.75', '4.38', '2.62', '2.75', '4.88', '4.62', '4.75', '4.50', '4.38', '4.62', '4.62', '4.38', '4.25', '4.25', '4.25', '4.50', '4.62', '2.38', '3.38', '4.88', '4.62', '4.75', '4.88', '4.75', '4.38', '4.38', '4.50', '4.62', '4.62', '4.75', '4.75', '4.50', '2.50', '2.12', '4.38', '4.50', '4.25', '4.38', '4.50', '4.38', '4.62', '4.88', '4.62', '4.50', '4.62', '4.62', '4.62', '2.62', '3.00', '4.62', '4.50', '4.50', '4.12', '4.38', '4.38', '4.38', '4.25', '4.25', '4.50', '4.50', '4.62', '4.75', '3.00', '2.75', '3.12', '2.75', '2.25', '4.12', '4.50', '4.50', '4.50', '4.50', '4.38', '4.25', '4.38', '4.12', '4.75', '2.62', '2.25', '3.88', '4.50', '4.25', '4.25', '4.50', '4.25', '4.25', '4.50', '4.62', '4.50', '4.38', '4.38', '4.12', '2.38', '2.50', '4.50', '4.50', '4.25', '4.25', '4.25', '4.50', '4.62', '4.38', '4.38', '4.25', '4.62', '4.62', '4.12', '2.50', '2.75', '4.38', '4.38', '4.38', '4.50', '4.50', '4.25', '4.38', '4.50', '4.62', '4.62', '4.62', '4.50', '4.38', '2.38', '2.88', '4.38', '4.62', '4.50', '4.38', '4.50', '4.38', '4.12', '4.25', '4.38', '4.38', '4.38', '4.38', '4.38', '2.62', '2.75', '2.62', '2.75', '3.75', '4.62', '4.50', '4.50', '4.38', '4.50', '4.62', '4.50', '4.62', '4.50', '4.50', '2.50', '3.75', '4.38', '4.62', '4.50', '4.50', '4.62', '4.38', '4.50', '4.25', '4.38', '4.25', '4.50', '4.50', '4.38', '2.38', '3.38', '4.62', '4.38', '4.00', '4.00', '4.25', '4.38', '4.38', '4.50', '4.38', '4.38', '4.50', '4.12', '4.38', '2.50']
