packet_4K_bic_0_1.txt  均值=3.837833333333333  方差=0.3286463055555556  ['3.88', '4.00', '3.88', '3.75', '2.38', '2.62', '3.75', '4.12', '4.25', '4.12', '4.00', '4.25', '4.38', '4.25', '4.38', '4.00', '4.00', '4.12', '3.50', '2.38', '3.50', '4.00', '4.12', '4.00', '4.12', '4.25', '4.38', '4.25', '4.25', '4.00', '4.12', '4.12', '4.00', '3.62', '2.62', '2.75', '4.00', '4.25', '4.25', '4.12', '4.25', '4.00', '4.25', '4.50', '4.25', '4.12', '4.00', '4.12', '3.50', '2.38', '3.75', '4.25', '4.38', '4.00', '3.88', '4.00', '4.12', '4.12', '4.12', '4.12', '4.12', '4.00', '4.00', '3.38', '3.12', '2.62', '2.50', '2.38', '2.88', '4.25', '4.12', '3.88', '4.00', '4.25', '3.88', '4.12', '4.00', '4.12', '3.50', '2.50', '3.00', '4.12', '4.12', '4.12', '4.00', '4.25', '4.38', '4.25', '4.12', '4.12', '3.88', '4.12', '4.12', '3.50', '2.50', '2.75', '4.12', '4.00', '4.25', '4.00', '4.12', '4.00', '4.12', '4.00', '4.12', '4.25', '4.38', '4.12', '3.75', '2.62', '3.12', '4.12', '3.75', '4.12', '4.12', '4.25', '4.25', '4.00', '4.25', '4.12', '4.00', '4.50', '4.38', '3.75', '2.62', '2.75', '3.38', '4.38', '4.12', '4.25', '4.25', '4.00', '3.88', '4.12', '4.12', '4.00', '4.25', '4.12', '3.62', '2.12', '2.38', '2.62', '2.38', '3.50', '4.12', '4.12', '4.12', '3.88', '3.88', '4.12', '4.12', '4.25', '4.12', '3.50', '2.62', '3.00', '3.88', '4.00', '4.12', '3.88', '4.12', '4.12', '4.00', '4.12', '4.12', '4.12', '4.25', '4.00', '3.38', '2.62', '3.50', '4.25', '4.00', '4.12', '4.12', '4.25', '4.25', '4.12', '4.25', '4.25', '4.38', '4.25', '4.38', '3.62', '2.50', '3.50', '4.25', '4.25', '4.12', '4.25', '4.38', '4.25', '4.38', '4.00', '4.12', '4.12', '4.12', '3.88', '3.50', '2.50', '3.50', '4.25', '4.00', '4.00', '4.12', '4.38', '4.25', '4.38', '4.25', '4.12', '4.12', '4.25', '4.12', '3.62', '2.12', '2.38', '2.00', '2.50', '3.62', '4.25', '4.00', '4.12', '4.25', '4.00', '4.12', '4.12', '4.12', '4.25', '3.50', '2.50', '2.38', '4.25', '4.12', '4.00', '4.12', '3.88', '4.12', '3.88', '4.12', '4.00', '4.12', '4.00', '4.00', '3.38', '2.50', '3.00', '4.00', '4.12', '4.00', '4.00', '4.12', '4.38', '4.38', '4.25', '4.12', '4.25', '4.25', '4.12', '3.88', '2.75', '3.00', '4.12', '3.75', '4.00', '4.00', '4.00', '4.00', '4.12', '4.00', '4.12', '4.12', '3.75', '3.88', '3.62', '2.25', '2.88', '4.12', '3.75', '3.88', '4.12', '4.25', '4.00', '4.00', '4.12', '4.00', '4.12', '4.12', '4.38', '3.62', '2.62', '2.38', '2.25', '2.62', '3.25', '4.38', '4.12', '4.00', '4.25', '4.12', '3.88']
packet_4K_bic_0_11.txt  均值=4.195666666666667  方差=0.455237888888889  ['4.63', '4.75', '4.50', '4.88', '4.62', '4.38', '3.00', '3.12', '4.25', '4.62', '4.62', '4.75', '4.62', '4.75', '4.62', '4.75', '4.88', '4.62', '4.75', '4.62', '3.88', '2.75', '2.38', '3.88', '4.62', '4.75', '4.50', '4.75', '4.75', '4.62', '4.50', '4.75', '4.62', '4.50', '4.62', '4.25', '2.88', '2.75', '4.75', '4.75', '4.50', '4.50', '4.50', '4.62', '4.50', '4.50', '4.50', '4.50', '4.75', '4.75', '4.12', '2.75', '2.88', '3.38', '4.38', '4.25', '4.38', '4.62', '4.75', '4.62', '4.38', '4.38', '4.50', '4.25', '4.62', '4.25', '2.62', '2.38', '3.00', '2.38', '2.88', '4.50', '4.50', '4.62', '4.50', '4.75', '4.62', '4.50', '4.62', '4.62', '4.25', '2.88', '2.50', '4.12', '4.62', '4.50', '4.38', '4.38', '4.50', '4.62', '4.62', '4.38', '4.50', '4.38', '4.62', '4.00', '2.62', '2.25', '3.75', '4.50', '4.62', '4.38', '4.50', '4.50', '4.38', '4.50', '4.75', '4.38', '4.38', '4.50', '4.00', '2.88', '2.50', '4.12', '4.50', '4.62', '4.62', '4.62', '4.50', '4.50', '4.38', '4.50', '4.38', '4.38', '4.62', '4.38', '2.62', '2.62', '4.38', '4.50', '4.50', '4.62', '4.50', '4.50', '4.62', '4.62', '4.62', '4.62', '4.62', '4.50', '4.50', '3.62', '3.88', '3.62', '3.75', '3.75', '3.75', '3.75', '3.62', '3.62', '4.25', '4.38', '4.62', '4.38', '4.50', '4.38', '3.75', '3.75', '3.88', '4.50', '4.50', '4.50', '4.50', '4.50', '4.62', '4.50', '4.62', '4.62', '4.62', '4.50', '4.12', '2.88', '2.62', '4.50', '4.62', '4.50', '4.62', '4.75', '4.62', '4.62', '4.62', '4.50', '4.38', '4.62', '4.50', '4.12', '2.62', '3.00', '3.25', '4.38', '4.38', '4.38', '4.75', '4.50', '4.50', '4.62', '4.38', '4.38', '4.50', '4.62', '4.00', '2.62', '2.50', '4.25', '4.38', '4.38', '4.62', '4.62', '4.50', '4.50', '4.62', '4.38', '4.50', '4.75', '4.50', '4.12', '2.38', '2.50', '2.62', '2.62', '3.38', '4.50', '4.50', '4.50', '4.75', '4.62', '4.50', '4.62', '4.38', '4.38', '4.00', '2.88', '2.50', '4.50', '4.50', '4.62', '4.75', '4.38', '4.50', '4.50', '4.62', '4.50', '4.38', '4.50', '4.75', '4.38', '2.62', '2.75', '3.75', '4.50', '4.62', '4.50', '4.50', '4.50', '4.62', '4.50', '4.50', '4.75', '4.38', '4.62', '4.12', '2.75', '2.75', '4.50', '4.62', '4.75', '4.38', '4.50', '4.62', '4.38', '4.62', '4.50', '4.62', '4.50', '4.50', '4.12', '2.50', '2.75', '4.50', '4.62', '4.50', '4.62', '4.62', '4.62', '4.50', '4.75', '4.62', '4.62', '4.25', '4.62', '4.12', '2.75', '2.50', '2.75', '2.88', '3.38', '4.62', '4.50', '4.62', '4.62']
packet_4K_bic_0_48.txt  均值=3.768033333333334  方差=0.5345091322222222  ['4.00', '4.25', '4.38', '4.12', '4.25', '4.12', '4.38', '4.00', '1.88', '2.50', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.25', '4.25', '3.62', '4.12', '4.25', '3.88', '2.12', '2.12', '3.88', '4.38', '4.12', '4.12', '4.25', '4.00', '4.12', '4.25', '4.12', '4.12', '4.38', '4.50', '4.50', '2.00', '2.12', '3.00', '4.38', '4.38', '4.12', '4.38', '4.12', '4.38', '4.38', '4.25', '4.25', '4.25', '4.25', '4.25', '1.88', '2.12', '3.25', '4.25', '4.25', '4.12', '4.38', '3.88', '4.25', '4.25', '4.12', '4.25', '4.12', '4.12', '4.25', '1.88', '1.88', '2.00', '2.75', '4.38', '4.38', '4.50', '4.00', '3.88', '4.00', '4.00', '4.12', '4.12', '4.00', '3.88', '1.88', '2.25', '4.12', '4.38', '4.25', '4.00', '4.12', '4.12', '4.12', '4.12', '4.00', '4.25', '4.00', '4.12', '4.00', '2.25', '2.88', '4.12', '3.88', '4.00', '4.00', '4.25', '4.38', '4.12', '4.00', '4.12', '4.25', '4.12', '4.12', '4.00', '1.88', '2.25', '3.00', '4.25', '4.38', '4.25', '4.12', '4.12', '4.12', '4.12', '3.88', '3.88', '4.00', '4.00', '4.12', '1.88', '2.38', '3.12', '4.12', '4.12', '4.00', '4.12', '4.50', '4.12', '4.12', '3.75', '3.88', '4.00', '3.88', '4.38', '2.88', '2.50', '2.88', '2.25', '2.50', '4.00', '4.25', '4.12', '4.00', '4.25', '4.38', '4.12', '4.00', '3.88', '4.12', '2.38', '3.00', '2.62', '3.25', '4.50', '4.50', '4.38', '4.38', '4.50', '4.38', '4.12', '4.25', '4.12', '4.25', '4.00', '1.75', '2.38', '3.12', '4.25', '4.25', '4.12', '4.12', '4.38', '4.25', '4.00', '4.25', '3.75', '4.12', '4.12', '3.75', '2.25', '2.75', '2.50', '3.50', '4.25', '3.62', '4.25', '3.75', '3.75', '3.62', '3.62', '3.50', '4.25', '4.25', '4.38', '2.50', '2.62', '2.50', '3.12', '4.00', '3.88', '4.00', '3.88', '4.12', '4.12', '4.25', '4.38', '3.88', '4.00', '3.88', '2.88', '2.75', '2.62', '2.50', '2.25', '4.12', '3.88', '3.88', '4.00', '3.75', '4.25', '4.25', '4.12', '4.25', '4.12', '2.38', '2.62', '3.38', '4.25', '4.38', '4.12', '3.75', '4.25', '4.00', '4.12', '4.12', '4.25', '4.00', '3.88', '4.25', '1.88', '3.12', '4.00', '4.25', '4.12', '4.12', '4.25', '4.25', '3.88', '4.25', '3.75', '4.25', '4.38', '4.38', '3.75', '2.00', '2.38', '4.00', '3.75', '3.62', '3.38', '3.88', '4.00', '4.12', '4.00', '4.12', '4.12', '3.75', '3.88', '4.25', '2.12', '2.50', '4.12', '3.88', '3.88', '4.00', '4.12', '3.62', '4.12', '4.38', '4.25', '3.88', '4.25', '3.88', '4.25', '1.62', '1.50', '1.88', '2.62', '4.50', '4.00', '4.25']
packet_4K_bic_0_49.txt  均值=4.743533333333333  方差=0.7978581822222223  ['5.25', '5.38', '5.38', '5.62', '5.50', '5.38', '5.50', '5.38', '3.50', '3.88', '4.62', '5.38', '5.38', '5.50', '5.62', '5.62', '5.25', '5.25', '5.38', '5.38', '5.75', '5.88', '5.38', '3.25', '3.62', '4.75', '5.50', '5.25', '5.50', '5.25', '5.25', '5.50', '5.25', '4.75', '5.50', '5.38', '5.50', '5.38', '3.00', '3.62', '3.62', '5.38', '5.25', '5.00', '5.75', '5.50', '5.00', '5.12', '5.50', '5.00', '5.50', '6.00', '6.00', '2.88', '3.25', '3.25', '5.75', '5.12', '4.88', '4.88', '5.25', '5.50', '5.38', '5.50', '5.50', '5.38', '5.75', '5.62', '3.38', '3.00', '3.38', '3.00', '3.12', '5.00', '5.62', '5.50', '5.62', '5.25', '5.12', '5.38', '5.12', '5.12', '5.00', '3.00', '3.50', '3.38', '5.25', '5.00', '5.38', '5.38', '5.12', '5.25', '5.25', '5.38', '5.38', '5.50', '5.62', '5.75', '3.12', '3.50', '3.25', '5.12', '5.50', '5.38', '5.50', '5.50', '5.50', '5.62', '5.75', '5.62', '5.12', '5.00', '5.00', '2.88', '3.25', '3.12', '4.25', '5.62', '5.12', '5.25', '5.50', '4.88', '5.00', '5.25', '5.00', '5.50', '4.88', '5.00', '2.88', '3.50', '4.25', '5.12', '5.12', '5.25', '5.25', '5.00', '4.62', '4.38', '4.12', '3.62', '4.38', '5.00', '5.38', '3.25', '3.12', '2.88', '2.88', '2.88', '4.75', '4.88', '5.00', '4.75', '5.00', '5.12', '5.38', '5.62', '5.12', '5.00', '3.00', '3.00', '5.25', '5.12', '5.25', '4.88', '5.62', '5.88', '5.50', '5.25', '5.25', '5.25', '5.38', '5.38', '5.38', '3.25', '2.75', '3.00', '5.25', '5.12', '4.88', '4.38', '5.25', '5.12', '5.25', '4.88', '4.50', '5.12', '4.88', '5.12', '3.12', '3.88', '4.38', '4.62', '5.00', '5.00', '5.25', '5.25', '5.25', '5.25', '5.38', '5.12', '5.50', '5.12', '4.88', '3.00', '3.25', '2.75', '4.88', '5.25', '4.38', '5.38', '5.50', '5.00', '5.50', '5.25', '5.12', '5.12', '3.88', '3.00', '3.25', '2.62', '3.25', '2.75', '3.38', '5.38', '5.38', '5.38', '4.88', '4.38', '4.62', '4.75', '4.62', '5.00', '5.38', '2.62', '3.38', '3.12', '5.12', '5.12', '4.62', '5.00', '4.75', '5.25', '5.12', '5.12', '5.12', '5.38', '5.25', '5.50', '2.38', '3.12', '4.00', '4.88', '4.75', '4.75', '4.88', '5.00', '5.12', '5.38', '4.88', '4.88', '5.50', '5.75', '5.38', '3.00', '3.25', '3.62', '5.38', '5.00', '5.25', '5.12', '5.12', '5.12', '5.38', '5.25', '5.12', '4.75', '4.75', '4.75', '2.75', '3.00', '3.75', '5.50', '5.38', '5.00', '5.25', '5.00', '4.88', '4.75', '4.75', '4.75', '4.62', '4.88', '4.88', '3.12', '3.38', '2.75', '3.12', '2.88', '5.00', '5.12']
packet_4K_bic_0_5.txt  均值=4.411966666666667  方差=0.48177779888888894  ['4.38', '4.88', '3.88', '2.75', '3.62', '4.62', '4.88', '5.00', '4.75', '5.00', '4.75', '4.75', '4.88', '4.75', '5.00', '4.88', '4.62', '3.88', '2.75', '4.38', '4.75', '5.00', '4.62', '5.00', '4.75', '4.88', '4.62', '4.88', '4.88', '4.75', '4.88', '4.88', '3.75', '2.88', '3.50', '4.62', '4.62', '4.75', '4.62', '4.62', '4.50', '5.00', '4.75', '4.88', '5.00', '4.75', '4.88', '3.88', '2.75', '3.25', '2.88', '3.00', '3.62', '4.88', '5.00', '5.00', '5.00', '4.88', '4.88', '4.88', '4.75', '4.75', '3.88', '2.62', '2.75', '4.75', '4.75', '5.00', '4.50', '4.88', '4.88', '4.62', '4.88', '5.12', '5.00', '4.88', '4.75', '3.75', '2.88', '2.88', '5.00', '4.88', '4.75', '4.88', '4.88', '4.88', '4.88', '5.00', '5.00', '4.62', '4.88', '4.88', '3.88', '2.75', '3.25', '4.75', '5.00', '4.88', '5.00', '4.88', '5.00', '4.75', '5.00', '4.75', '5.00', '4.88', '4.88', '3.88', '3.00', '3.12', '4.88', '4.88', '4.88', '4.88', '4.88', '4.88', '4.75', '4.88', '5.00', '4.88', '5.00', '4.75', '4.62', '4.00', '4.00', '4.12', '3.88', '4.00', '4.00', '3.88', '4.25', '3.88', '4.88', '4.75', '4.75', '5.00', '4.75', '4.50', '4.12', '3.88', '4.00', '4.88', '4.88', '4.88', '4.88', '5.00', '4.75', '4.88', '4.88', '5.00', '4.75', '4.88', '3.88', '2.75', '4.50', '4.88', '4.75', '5.00', '4.88', '4.88', '4.88', '4.75', '4.88', '4.75', '5.00', '5.00', '4.88', '3.88', '3.12', '3.00', '4.25', '4.88', '5.00', '4.88', '4.75', '4.88', '4.88', '5.00', '4.75', '4.88', '5.00', '4.88', '3.75', '2.62', '3.12', '4.62', '4.88', '4.75', '4.88', '4.75', '5.00', '4.75', '4.75', '4.75', '4.88', '4.88', '4.88', '3.88', '2.62', '2.50', '2.88', '2.62', '4.00', '4.62', '4.75', '4.62', '4.62', '4.75', '4.75', '4.50', '4.75', '4.62', '3.75', '2.62', '2.50', '4.75', '4.62', '4.88', '4.62', '4.75', '4.75', '4.62', '4.88', '4.75', '4.75', '4.88', '4.38', '3.88', '2.62', '3.00', '4.12', '4.50', '4.75', '4.88', '4.50', '4.38', '4.50', '4.62', '4.50', '4.62', '4.62', '4.38', '3.50', '2.50', '3.50', '4.50', '4.62', '4.75', '4.75', '4.62', '4.62', '4.75', '4.50', '4.62', '4.38', '4.50', '4.75', '4.12', '3.75', '3.50', '3.38', '3.75', '4.12', '4.75', '4.88', '4.50', '4.75', '4.62', '4.62', '4.75', '4.75', '4.88', '3.50', '2.38', '2.75', '2.75', '2.62', '4.38', '4.62', '4.88', '4.38', '4.62', '4.62', '4.75', '4.50', '4.75', '4.62', '3.38', '2.75', '2.62', '3.75', '4.62', '4.75', '4.75', '4.62', '4.62', '4.75', '4.62', '4.62', '4.62']
packet_4K_bic_0_52.txt  均值=4.329400000000001  方差=0.6121603066666668  ['4.88', '4.88', '4.62', '3.00', '1.75', '3.62', '4.88', '4.75', '5.00', '5.12', '4.88', '4.75', '4.75', '4.62', '4.88', '4.62', '4.75', '4.88', '3.25', '3.00', '2.62', '2.62', '3.12', '3.88', '4.75', '4.75', '5.00', '5.00', '4.88', '5.00', '4.75', '4.75', '4.88', '3.38', '3.12', '3.12', '4.38', '4.75', '5.00', '4.75', '4.75', '5.00', '4.50', '4.75', '4.62', '4.75', '4.62', '4.88', '3.38', '3.00', '3.00', '4.00', '4.88', '4.62', '4.62', '4.75', '4.75', '4.88', '4.50', '4.75', '4.88', '4.88', '4.75', '3.12', '1.62', '4.50', '5.00', '5.00', '4.75', '4.75', '4.88', '4.75', '4.75', '4.50', '4.50', '4.88', '4.88', '4.75', '3.12', '3.12', '3.00', '3.50', '4.62', '4.38', '4.50', '4.75', '4.62', '4.50', '4.50', '4.62', '4.62', '4.62', '4.62', '2.75', '2.25', '2.12', '2.12', '4.12', '5.00', '4.88', '4.88', '4.75', '4.75', '4.62', '4.88', '4.50', '4.75', '4.62', '3.38', '2.88', '2.75', '4.50', '4.62', '4.88', '4.50', '4.75', '4.88', '4.75', '4.88', '4.62', '4.62', '4.88', '4.88', '2.88', '2.88', '3.00', '4.25', '4.62', '5.00', '5.12', '5.00', '4.75', '4.62', '4.75', '5.00', '4.88', '4.62', '4.88', '3.50', '3.25', '2.88', '3.50', '4.62', '4.75', '4.38', '4.75', '4.75', '4.50', '4.62', '4.75', '4.88', '4.62', '4.62', '2.75', '1.88', '4.38', '4.88', '4.75', '5.00', '4.38', '4.88', '5.00', '4.88', '4.88', '4.75', '4.75', '4.62', '4.50', '3.12', '3.25', '3.12', '2.75', '2.75', '3.75', '4.75', '4.75', '4.75', '5.00', '4.75', '4.62', '4.62', '4.50', '4.62', '3.12', '3.00', '2.88', '4.12', '4.12', '4.50', '4.75', '4.50', '4.50', '4.62', '4.88', '4.88', '4.50', '4.88', '4.75', '3.25', '3.00', '2.75', '4.62', '4.62', '4.62', '4.75', '4.75', '4.75', '4.88', '4.62', '4.50', '4.75', '4.75', '4.62', '2.50', '2.00', '4.50', '5.00', '4.88', '4.88', '5.00', '5.12', '4.75', '4.88', '4.62', '4.75', '4.75', '4.75', '4.75', '3.25', '3.12', '3.50', '3.62', '4.75', '4.88', '4.88', '4.88', '4.62', '4.75', '4.88', '4.75', '4.50', '4.62', '5.00', '3.62', '3.25', '2.88', '3.00', '2.75', '3.62', '4.50', '4.62', '4.75', '4.62', '4.75', '4.88', '4.62', '4.75', '4.75', '3.12', '3.12', '3.12', '4.50', '4.62', '4.62', '4.88', '5.00', '4.88', '4.75', '4.75', '5.12', '4.88', '4.88', '4.88', '3.12', '3.25', '2.88', '4.12', '4.75', '4.62', '4.50', '4.88', '4.62', '4.62', '4.62', '5.00', '4.88', '5.00', '4.88', '3.75', '2.88', '3.12', '4.00', '4.75', '5.00', '4.88', '4.75', '5.12', '5.12', '4.75', '4.75']
packet_4K_bic_0_53.txt  均值=3.8491333333333335  方差=0.5896519155555556  ['4.00', '4.12', '4.25', '3.00', '2.88', '2.75', '3.62', '4.12', '4.38', '4.25', '4.25', '4.00', '4.25', '4.12', '4.38', '4.25', '4.00', '4.38', '2.12', '2.38', '2.00', '1.88', '4.38', '4.12', '4.12', '4.38', '4.25', '4.38', '4.25', '4.25', '4.38', '4.25', '4.38', '2.00', '1.62', '4.00', '4.12', '4.25', '4.62', '4.38', '4.25', '4.25', '3.75', '4.12', '4.00', '4.00', '4.25', '4.38', '2.38', '2.62', '4.38', '4.25', '4.25', '4.25', '4.25', '4.12', '4.00', '3.88', '3.88', '3.88', '4.00', '4.00', '4.12', '2.62', '1.75', '2.62', '4.12', '4.38', '4.38', '4.25', '3.88', '4.00', '4.12', '4.12', '4.12', '4.25', '4.12', '4.25', '2.75', '1.75', '3.62', '4.25', '4.25', '4.25', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.00', '4.38', '4.38', '2.75', '3.25', '2.25', '2.38', '2.75', '3.12', '4.38', '4.25', '4.38', '4.25', '4.12', '4.25', '4.00', '4.25', '4.25', '2.00', '1.50', '4.12', '4.12', '4.38', '4.38', '4.25', '4.12', '4.50', '4.12', '4.12', '4.00', '4.12', '4.12', '4.38', '2.88', '2.50', '2.75', '3.00', '4.25', '4.25', '4.00', '4.38', '3.88', '4.25', '4.25', '4.50', '4.25', '4.12', '4.00', '2.88', '2.75', '2.38', '3.88', '4.25', '4.12', '4.12', '4.25', '4.38', '4.12', '4.25', '3.88', '4.25', '4.12', '4.38', '2.25', '2.00', '4.12', '4.00', '4.25', '4.00', '4.25', '4.00', '4.00', '4.12', '4.25', '3.88', '4.12', '4.25', '4.38', '2.62', '2.62', '2.62', '2.25', '2.75', '2.88', '4.12', '4.12', '4.25', '3.88', '4.12', '4.38', '4.25', '4.00', '4.50', '2.00', '2.25', '3.88', '4.00', '4.25', '4.25', '4.00', '4.25', '4.38', '4.25', '3.88', '4.12', '4.12', '4.12', '4.25', '2.38', '1.62', '4.50', '4.38', '4.38', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.25', '4.00', '4.25', '4.25', '2.50', '1.75', '3.88', '4.25', '4.50', '4.12', '4.12', '4.25', '4.12', '4.12', '4.38', '4.25', '4.25', '4.25', '4.25', '2.00', '1.88', '4.38', '4.38', '4.25', '4.50', '4.38', '4.12', '4.25', '3.88', '4.25', '4.12', '4.12', '4.12', '3.75', '2.25', '1.88', '1.88', '1.88', '4.00', '4.62', '4.38', '4.38', '4.12', '4.25', '4.25', '4.25', '4.12', '4.50', '4.50', '2.50', '1.50', '4.00', '4.25', '4.12', '4.00', '4.25', '4.00', '4.38', '4.38', '4.38', '4.25', '4.38', '4.25', '4.25', '2.88', '2.75', '3.12', '4.50', '4.38', '4.50', '4.38', '4.50', '4.50', '4.50', '4.50', '4.50', '4.12', '4.38', '4.50', '2.25', '1.88', '3.88', '4.12', '4.25', '4.12', '4.38', '4.38', '4.50', '4.38', '4.50', '4.38']
packet_4K_bic_0_58.txt  均值=3.8843666666666663  方差=0.42638393222222215  ['4.13', '4.50', '3.62', '3.12', '2.62', '3.00', '4.00', '3.88', '4.25', '4.12', '4.12', '4.12', '4.25', '4.12', '4.12', '4.25', '4.25', '3.25', '2.38', '2.88', '4.12', '4.38', '4.00', '4.00', '4.25', '4.12', '3.38', '1.50', '3.38', '4.25', '4.25', '4.25', '3.12', '2.38', '3.50', '4.25', '4.25', '4.12', '4.12', '4.12', '4.12', '4.50', '4.50', '4.50', '4.12', '4.25', '4.38', '3.12', '3.00', '2.38', '2.75', '2.75', '2.88', '4.12', '4.25', '4.38', '4.25', '4.12', '3.12', '1.75', '3.12', '4.50', '3.38', '2.75', '3.25', '4.38', '4.38', '4.25', '4.25', '4.38', '4.38', '4.38', '4.50', '4.38', '4.25', '4.25', '4.12', '3.25', '2.75', '3.00', '3.12', '4.38', '4.38', '4.25', '4.25', '4.25', '4.25', '4.50', '4.75', '4.38', '4.50', '4.25', '3.25', '2.75', '3.12', '4.12', '4.38', '4.50', '4.25', '4.25', '4.62', '4.50', '4.50', '4.25', '4.38', '4.50', '4.50', '3.00', '3.50', '2.38', '2.75', '2.75', '2.75', '4.25', '4.25', '4.25', '4.25', '4.38', '4.25', '4.00', '4.25', '4.25', '2.75', '1.62', '4.12', '4.38', '4.12', '4.50', '4.50', '4.12', '4.12', '4.25', '4.25', '4.12', '4.38', '4.25', '4.25', '3.50', '2.62', '2.75', '3.62', '4.25', '4.00', '4.12', '4.25', '4.25', '4.12', '4.12', '4.38', '4.25', '4.00', '4.25', '3.12', '2.75', '2.75', '3.88', '4.25', '4.25', '4.38', '4.12', '4.25', '4.25', '4.25', '4.25', '4.12', '4.38', '4.25', '2.50', '1.88', '3.88', '4.00', '4.12', '4.12', '4.12', '4.25', '3.88', '4.12', '4.12', '4.12', '4.25', '4.50', '4.38', '3.50', '3.25', '2.50', '2.50', '2.50', '2.88', '4.25', '3.88', '4.00', '3.88', '3.88', '4.38', '4.38', '4.12', '4.25', '3.25', '2.88', '3.12', '3.88', '4.25', '4.12', '4.25', '4.12', '4.25', '4.00', '4.12', '4.12', '4.25', '4.12', '4.62', '3.00', '2.62', '3.00', '3.12', '4.25', '4.12', '4.25', '4.12', '4.50', '4.25', '4.38', '3.88', '4.12', '4.12', '4.50', '3.25', '2.75', '3.12', '3.50', '4.38', '4.25', '4.25', '4.12', '4.38', '4.00', '4.38', '4.38', '4.38', '3.88', '4.12', '3.25', '2.75', '2.38', '4.25', '4.25', '4.25', '3.88', '4.50', '4.38', '4.50', '4.25', '4.38', '4.25', '4.12', '4.38', '3.25', '3.25', '2.62', '2.38', '2.62', '3.38', '4.50', '4.50', '4.25', '4.25', '4.38', '4.12', '4.25', '4.12', '4.25', '3.00', '2.62', '3.00', '4.25', '4.25', '4.25', '4.25', '4.50', '4.62', '4.50', '4.12', '4.25', '4.50', '4.25', '4.25', '3.00', '3.12', '3.00', '4.12', '4.12', '4.25', '4.38', '4.25', '4.25', '4.25', '4.50', '4.50', '4.25']
packet_4K_bic_0_63.txt  均值=3.7993666666666663  方差=0.5386145988888889  ['2.50', '4.50', '4.12', '4.38', '4.12', '4.25', '4.12', '4.38', '4.38', '4.38', '4.38', '4.25', '3.88', '1.50', '3.00', '4.25', '4.25', '4.25', '4.00', '4.25', '4.25', '4.62', '4.12', '4.38', '4.38', '4.12', '4.38', '3.88', '2.75', '2.50', '2.25', '2.62', '2.62', '3.75', '4.00', '4.25', '4.12', '4.25', '4.12', '4.12', '4.25', '4.12', '4.12', '2.50', '2.88', '2.75', '4.12', '4.38', '4.25', '4.12', '3.88', '4.00', '4.00', '4.12', '4.25', '4.38', '4.12', '4.00', '2.50', '2.50', '2.62', '4.00', '3.88', '4.25', '4.00', '4.38', '4.00', '4.38', '4.25', '4.62', '4.12', '4.00', '3.62', '1.75', '2.50', '4.25', '4.00', '4.25', '4.25', '4.12', '4.50', '4.25', '4.25', '4.25', '4.25', '4.25', '4.00', '3.62', '2.25', '2.75', '3.38', '4.12', '4.38', '4.12', '4.12', '4.38', '4.12', '4.25', '4.12', '4.25', '4.38', '4.38', '3.75', '1.50', '2.00', '1.88', '2.62', '4.38', '4.25', '4.25', '4.25', '4.25', '4.25', '4.25', '4.00', '4.12', '4.62', '3.88', '1.50', '2.25', '4.00', '4.25', '4.25', '4.38', '4.62', '4.50', '4.12', '4.38', '4.50', '4.38', '4.12', '4.00', '3.88', '2.62', '2.62', '3.62', '4.12', '4.00', '3.88', '4.12', '3.88', '3.88', '4.00', '4.12', '4.12', '4.00', '3.75', '3.50', '2.50', '2.25', '3.88', '4.38', '4.38', '4.50', '4.12', '4.25', '3.88', '4.00', '4.00', '4.00', '4.38', '4.50', '3.62', '1.38', '3.00', '4.25', '4.12', '4.12', '4.25', '4.25', '3.88', '4.00', '3.62', '3.88', '3.88', '4.25', '4.00', '3.62', '2.50', '2.50', '2.12', '2.12', '2.50', '4.25', '4.00', '4.12', '4.12', '4.50', '4.38', '4.25', '4.12', '4.25', '4.00', '2.50', '2.62', '3.00', '4.12', '4.00', '3.88', '4.00', '4.50', '4.12', '3.75', '4.25', '4.00', '4.12', '4.25', '3.75', '1.50', '2.50', '3.88', '4.25', '4.25', '4.38', '4.12', '4.00', '4.25', '4.25', '4.25', '4.12', '3.88', '4.00', '3.75', '2.38', '2.62', '3.38', '4.00', '4.00', '4.00', '4.00', '4.00', '4.12', '4.12', '4.25', '3.88', '4.12', '4.12', '3.50', '2.12', '2.38', '3.38', '4.00', '3.88', '3.88', '4.25', '4.12', '4.25', '4.50', '4.50', '4.25', '4.12', '4.00', '3.75', '2.50', '2.12', '2.12', '2.12', '2.50', '3.88', '4.38', '4.50', '4.25', '4.25', '4.12', '4.25', '4.12', '4.12', '3.88', '2.50', '2.88', '3.75', '4.62', '4.38', '4.25', '4.12', '4.38', '4.12', '4.25', '4.12', '4.00', '4.25', '4.00', '3.88', '2.38', '2.50', '2.88', '3.88', '4.12', '3.75', '4.12', '3.88', '4.25', '4.50', '4.38', '4.38', '4.00', '4.12', '3.75', '2.00', '2.25']
