packet_4K_cubic_0_40.txt  均值=3.707166666666667  方差=0.5826916388888889  ['3.75', '4.00', '3.25', '3.88', '2.38', '2.75', '2.62', '3.75', '3.88', '3.75', '3.75', '3.88', '3.88', '3.88', '3.88', '4.25', '4.12', '3.88', '3.50', '1.62', '2.00', '1.75', '2.88', '4.12', '4.00', '4.12', '4.12', '4.12', '4.12', '4.12', '4.00', '4.12', '4.12', '3.62', '1.88', '1.88', '3.88', '4.12', '3.75', '4.12', '4.12', '4.25', '4.00', '4.00', '4.38', '4.12', '4.12', '4.00', '4.12', '2.38', '2.88', '3.12', '4.25', '4.12', '4.12', '4.12', '4.12', '4.25', '4.00', '4.12', '4.25', '4.25', '4.12', '3.75', '2.38', '3.12', '2.75', '4.25', '4.12', '4.12', '4.00', '4.12', '4.12', '4.25', '4.00', '4.25', '4.25', '4.12', '3.62', '1.88', '2.50', '4.00', '4.25', '4.25', '4.38', '3.88', '4.12', '4.12', '4.25', '4.12', '4.00', '4.25', '4.12', '3.50', '2.00', '1.88', '1.75', '3.25', '4.00', '4.00', '4.25', '4.00', '4.12', '4.12', '4.00', '4.00', '4.25', '4.12', '4.00', '1.62', '1.75', '3.25', '4.00', '4.12', '3.88', '4.12', '4.12', '4.12', '4.00', '4.12', '4.12', '4.12', '4.00', '3.75', '2.38', '3.00', '3.12', '4.00', '4.12', '4.00', '4.00', '4.12', '4.12', '4.25', '4.00', '4.00', '3.50', '3.75', '3.38', '2.50', '2.50', '2.62', '4.00', '4.00', '4.12', '4.25', '4.38', '3.38', '3.88', '4.25', '4.00', '4.12', '3.88', '3.50', '1.62', '1.62', '2.62', '4.25', '4.12', '4.00', '4.00', '4.12', '4.38', '4.00', '4.12', '4.00', '3.88', '3.62', '3.62', '2.00', '1.75', '1.88', '2.38', '4.12', '4.25', '3.62', '4.00', '4.12', '4.12', '4.00', '4.12', '4.12', '4.12', '3.88', '1.75', '2.62', '4.25', '4.12', '4.12', '4.00', '4.12', '4.00', '4.00', '4.25', '4.00', '4.12', '4.12', '4.00', '3.62', '2.38', '2.75', '2.75', '4.00', '4.12', '3.88', '4.12', '4.12', '4.00', '4.12', '4.12', '4.12', '4.12', '4.00', '3.62', '1.50', '2.00', '4.00', '4.00', '4.12', '4.00', '4.12', '4.12', '4.12', '4.25', '4.25', '4.12', '4.00', '4.12', '4.00', '1.25', '1.88', '3.88', '3.88', '4.12', '4.12', '4.25', '4.25', '4.25', '4.38', '3.75', '4.12', '4.38', '4.25', '3.75', '1.75', '1.75', '1.62', '2.62', '3.88', '4.00', '4.12', '4.00', '4.25', '3.88', '4.12', '4.00', '4.38', '4.25', '3.88', '1.38', '2.62', '4.12', '4.12', '4.38', '4.12', '4.12', '4.25', '4.00', '4.12', '4.25', '4.12', '4.12', '4.25', '3.62', '2.25', '2.25', '3.62', '4.00', '4.12', '3.75', '4.12', '4.12', '4.12', '4.12', '3.75', '4.12', '4.38', '4.25', '4.38', '1.88', '1.62', '4.00', '4.12', '4.12', '4.12', '4.12', '4.00', '4.25', '4.00', '4.00']
packet_4K_cubic_0_42.txt  均值=3.8756000000000004  方差=0.54506864  ['4.13', '3.88', '2.25', '2.75', '2.62', '4.38', '4.25', '4.38', '4.38', '4.12', '4.00', '4.25', '4.38', '4.00', '4.38', '4.12', '3.50', '2.00', '1.88', '1.75', '2.88', '4.12', '4.12', '4.00', '4.12', '4.50', '4.38', '4.50', '4.25', '4.38', '4.38', '4.00', '2.00', '2.38', '4.38', '4.12', '4.12', '4.38', '4.12', '4.25', '4.25', '4.25', '4.38', '4.25', '4.38', '4.12', '3.88', '2.25', '3.00', '3.38', '4.25', '3.88', '4.25', '4.00', '4.25', '4.38', '4.38', '4.38', '4.12', '4.38', '4.50', '4.00', '1.25', '3.25', '4.12', '4.38', '4.25', '4.38', '4.38', '4.25', '4.25', '4.12', '4.50', '4.50', '4.62', '4.50', '3.88', '1.50', '3.38', '4.25', '4.12', '4.25', '4.25', '4.25', '4.25', '4.50', '4.12', '4.25', '4.25', '4.25', '4.25', '3.62', '1.88', '2.00', '2.12', '2.62', '4.12', '4.25', '4.50', '4.25', '4.25', '4.12', '4.12', '4.25', '3.75', '4.12', '3.75', '1.50', '2.88', '4.12', '4.25', '4.38', '4.25', '3.88', '4.12', '4.00', '4.12', '4.12', '4.25', '4.12', '4.25', '3.88', '2.38', '3.00', '3.50', '4.12', '3.88', '4.25', '4.12', '4.00', '4.00', '4.12', '4.38', '4.25', '4.38', '4.38', '3.75', '1.75', '3.00', '4.25', '4.25', '4.12', '4.25', '4.25', '4.25', '4.50', '4.38', '4.25', '4.12', '4.50', '4.25', '4.00', '1.50', '3.00', '4.00', '4.25', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.25', '4.12', '4.38', '4.38', '3.88', '1.75', '2.00', '1.88', '3.00', '4.12', '4.25', '4.25', '4.25', '4.25', '4.12', '4.38', '4.50', '4.25', '4.38', '3.88', '2.25', '3.25', '4.38', '4.25', '4.50', '4.00', '4.12', '4.12', '4.25', '4.38', '4.38', '4.25', '4.38', '4.38', '3.88', '3.00', '2.88', '2.75', '4.25', '4.25', '4.25', '4.12', '4.12', '4.12', '3.88', '4.25', '4.38', '4.25', '4.25', '3.88', '2.75', '3.25', '2.88', '4.38', '4.25', '4.38', '4.25', '4.00', '3.88', '4.12', '4.25', '4.38', '4.38', '4.25', '3.75', '2.50', '3.00', '2.50', '4.38', '4.38', '4.38', '4.38', '4.12', '4.25', '4.12', '4.12', '4.25', '4.12', '4.38', '3.88', '2.25', '1.62', '1.75', '2.50', '4.38', '4.25', '4.50', '4.12', '4.12', '4.00', '4.12', '4.12', '4.25', '4.00', '3.12', '2.62', '3.12', '2.75', '4.12', '4.38', '4.38', '4.38', '4.25', '4.25', '3.88', '4.00', '4.12', '4.25', '4.12', '3.62', '2.62', '3.25', '2.75', '4.25', '4.38', '4.38', '4.25', '4.38', '4.00', '4.38', '4.25', '4.38', '4.38', '4.38', '3.75', '1.62', '2.38', '4.50', '4.25', '4.12', '4.00', '4.25', '4.00', '4.12', '4.12', '4.12', '4.25', '4.12']
packet_4K_cubic_0_43.txt  均值=4.154066666666667  方差=0.7358761288888889  ['3.50', '4.88', '4.62', '4.75', '4.38', '4.62', '4.88', '5.00', '4.88', '4.75', '4.62', '5.00', '5.00', '4.50', '2.62', '3.50', '2.50', '4.62', '4.62', '4.62', '5.00', '4.88', '4.75', '5.00', '4.88', '5.00', '5.00', '5.00', '3.25', '2.38', '3.38', '3.12', '4.88', '4.50', '4.62', '4.62', '3.88', '3.38', '4.00', '4.00', '4.25', '4.88', '4.88', '4.50', '2.38', '3.38', '3.12', '4.88', '4.88', '4.88', '4.25', '4.62', '4.62', '4.62', '4.62', '4.88', '5.00', '4.88', '4.38', '3.00', '3.00', '2.88', '2.62', '2.88', '4.12', '5.00', '3.88', '4.12', '3.88', '3.75', '2.38', '4.62', '4.38', '4.00', '2.25', '2.62', '4.88', '4.62', '4.50', '4.62', '4.62', '4.50', '4.50', '4.75', '4.88', '4.62', '4.38', '4.62', '4.12', '2.12', '2.12', '4.50', '4.62', '4.75', '4.50', '4.88', '5.00', '4.75', '4.75', '4.50', '4.75', '4.50', '4.62', '4.25', '2.88', '3.12', '2.50', '5.62', '4.25', '4.38', '4.88', '4.75', '4.25', '2.50', '3.00', '3.50', '3.12', '3.50', '3.00', '1.12', '2.25', '3.12', '3.12', '4.00', '4.25', '4.62', '4.88', '4.75', '4.00', '4.62', '4.62', '2.62', '2.88', '2.25', '0.750', '1.50', '1.88', '2.88', '4.75', '4.75', '4.38', '4.88', '4.88', '4.62', '4.75', '4.75', '4.88', '4.38', '4.25', '2.50', '3.00', '2.75', '4.50', '4.62', '4.50', '4.75', '5.00', '4.88', '5.00', '4.88', '4.75', '5.00', '4.62', '4.12', '2.62', '3.38', '3.25', '4.62', '4.62', '4.62', '4.75', '4.88', '4.50', '4.88', '4.88', '4.75', '4.62', '4.50', '4.25', '2.75', '3.12', '2.50', '4.50', '4.75', '4.38', '4.62', '4.62', '4.62', '4.75', '4.88', '4.75', '4.50', '4.75', '4.25', '2.50', '3.50', '3.12', '4.12', '5.00', '4.75', '4.50', '4.62', '4.50', '4.75', '4.50', '4.50', '4.50', '4.50', '4.25', '2.88', '2.88', '2.50', '3.25', '2.50', '4.00', '4.38', '4.25', '4.75', '4.62', '4.75', '4.62', '4.62', '4.38', '4.25', '2.88', '3.38', '3.00', '5.12', '4.62', '4.75', '5.00', '4.75', '4.88', '4.88', '4.62', '4.88', '4.75', '4.50', '4.12', '2.75', '3.25', '3.50', '4.62', '4.38', '4.62', '4.50', '4.88', '4.62', '4.75', '4.62', '4.75', '4.50', '4.50', '4.00', '2.88', '3.38', '3.25', '3.25', '4.75', '5.00', '4.88', '5.00', '4.62', '4.62', '4.62', '4.75', '4.62', '4.50', '4.25', '2.88', '3.50', '3.12', '3.88', '4.62', '4.75', '4.62', '4.62', '4.62', '4.88', '4.62', '4.88', '4.75', '4.88', '4.38', '3.00', '3.50', '2.62', '3.00', '2.62', '4.00', '4.50', '4.50', '4.75', '4.75', '4.50', '4.88', '4.75', '4.50', '4.25', '2.88']
packet_4K_cubic_1_27.txt  均值=4.1739733333333335  方差=2.3685169192888886  ['3.25', '5.12', '5.62', '5.38', '5.50', '5.38', '5.50', '5.75', '5.50', '5.25', '5.25', '5.38', '5.62', '3.25', '4.25', '5.00', '6.00', '5.38', '5.50', '5.25', '5.12', '5.38', '5.12', '5.25', '5.12', '5.38', '5.25', '5.25', '2.88', '3.25', '4.25', '5.75', '5.75', '4.88', '5.75', '5.62', '5.62', '5.12', '5.25', '5.00', '5.50', '5.12', '5.38', '3.38', '3.62', '2.88', '3.38', '2.88', '5.75', '5.50', '5.50', '5.38', '2.75', '0.312', '1.75', '4.88', '6.75', '5.38', '3.12', '3.50', '3.12', '5.12', '5.38', '5.25', '5.25', '5.00', '5.00', '5.62', '5.75', '5.38', '5.38', '5.25', '5.38', '2.62', '3.25', '3.75', '5.62', '5.25', '5.50', '5.38', '5.50', '5.50', '5.25', '5.00', '5.00', '5.12', '5.62', '5.38', '3.00', '3.25', '4.12', '5.62', '5.75', '5.12', '5.50', '5.62', '5.38', '5.50', '5.25', '5.12', '5.38', '5.00', '5.25', '2.88', '3.38', '3.75', '5.38', '5.38', '5.38', '5.38', '5.38', '5.62', '5.25', '4.75', '5.38', '5.62', '5.50', '4.62', '3.00', '3.88', '3.38', '3.38', '3.25', '4.50', '5.62', '5.38', '5.50', '5.50', '5.25', '5.12', '5.25', '5.25', '5.25', '3.00', '3.62', '5.12', '5.50', '5.38', '5.50', '5.62', '5.62', '5.50', '5.38', '5.50', '5.38', '5.38', '5.75', '6.00', '3.00', '3.50', '3.75', '5.88', '5.75', '5.62', '5.38', '5.50', '5.38', '5.12', '5.38', '5.12', '5.25', '5.25', '5.25', '2.88', '1.00', '2.25', '5.75', '6.12', '5.25', '5.12', '5.38', '5.25', '4.88', '5.00', '5.38', '5.25', '5.38', '5.12', '2.88', '3.38', '3.88', '5.25', '5.25', '5.12', '5.25', '5.12', '5.25', '5.38', '5.38', '5.25', '5.88', '5.75', '5.88', '3.38', '3.00', '3.12', '0.187', '0.648', '1.50', '2.12', '2.00', '2.00', '2.12', '3.12', '2.38', '1.88', '2.38', '1.62', '0.625', '0.625', '1.62', '2.12', '2.25', '1.75', '2.00', '2.38', '3.00', '2.50', '2.62', '2.12', '2.62', '1.88', '1.75', '0.875', '1.38', '2.12', '2.12', '2.38', '2.00', '2.88', '4.25', '4.12', '2.00', '1.88', '2.00', '2.38', '2.50', '3.12', '1.62', '3.00', '6.88', '6.12', '5.00', '5.00', '1.75', '3.12', '2.75', '2.62', '2.50', '2.12', '3.00', '2.75', '1.88', '0.500', '1.12', '1.88', '2.75', '2.38', '2.12', '2.12', '2.50', '1.75', '2.00', '2.25', '2.00', '2.25', '3.00', '2.25', '0.490', '1.12', '1.12', '1.50', '3.12', '3.88', '3.12', '3.38', '2.88', '3.00', '2.88', '5.00', '3.38', '4.75', '6.50', '3.12', '4.12', '4.50', '5.38', '5.50', '5.25', '5.38', '5.25', '5.62', '6.00', '5.88', '5.50', '5.25', '5.38', '5.75', '2.88', '3.25']
packet_4K_cubic_1_28.txt  均值=3.917733333333333  方差=0.5929121955555555  ['3.25', '4.25', '4.25', '4.25', '4.25', '4.12', '4.38', '4.25', '4.25', '4.00', '4.25', '4.25', '4.12', '2.00', '2.25', '4.38', '4.50', '4.50', '4.38', '4.12', '4.38', '4.12', '4.25', '4.25', '4.25', '4.25', '4.25', '3.88', '1.62', '2.50', '4.38', '4.38', '4.12', '4.38', '4.25', '4.12', '4.12', '4.50', '4.50', '4.25', '4.25', '4.50', '4.12', '1.75', '1.75', '2.12', '3.25', '4.38', '4.12', '4.12', '4.25', '4.25', '4.38', '4.50', '4.50', '4.38', '4.25', '4.25', '1.75', '2.75', '4.25', '4.00', '4.38', '4.25', '4.25', '4.25', '4.25', '3.75', '4.12', '4.12', '4.50', '4.50', '4.25', '2.62', '3.12', '4.12', '4.50', '4.25', '4.38', '4.62', '4.12', '4.38', '4.12', '4.38', '4.12', '4.25', '4.25', '4.00', '2.00', '2.38', '4.12', '4.25', '4.12', '4.38', '4.38', '4.50', '4.38', '4.12', '4.25', '4.25', '4.25', '4.25', '4.25', '2.00', '1.75', '3.50', '4.38', '4.62', '4.25', '4.38', '4.50', '4.50', '4.38', '4.38', '4.12', '4.38', '4.12', '4.25', '1.88', '2.00', '2.00', '2.25', '3.88', '4.50', '4.50', '4.25', '4.12', '4.38', '4.25', '4.25', '4.12', '4.50', '4.00', '2.50', '3.00', '3.12', '4.12', '4.25', '4.12', '4.25', '4.38', '4.50', '4.25', '4.25', '4.38', '4.50', '4.38', '4.12', '2.75', '3.00', '3.38', '4.12', '4.12', '3.75', '4.38', '4.25', '4.12', '4.25', '4.38', '4.25', '4.50', '4.50', '4.50', '2.00', '2.38', '4.25', '3.62', '4.25', '4.12', '4.38', '4.50', '4.38', '4.12', '4.25', '4.00', '4.12', '4.12', '4.12', '1.62', '2.12', '4.38', '4.38', '4.50', '4.38', '4.38', '4.25', '4.38', '4.62', '4.38', '4.38', '4.62', '4.38', '4.12', '2.25', '2.12', '2.00', '2.88', '4.25', '4.25', '4.25', '4.25', '4.38', '4.25', '4.38', '4.25', '4.50', '4.50', '4.12', '1.62', '2.38', '4.12', '4.25', '4.25', '4.38', '4.25', '4.25', '4.12', '4.38', '3.75', '4.25', '4.38', '4.12', '4.25', '2.62', '2.62', '3.25', '4.25', '4.25', '4.12', '4.50', '4.62', '4.50', '4.38', '4.25', '4.38', '4.62', '4.38', '4.38', '2.50', '2.50', '3.25', '4.00', '4.38', '4.00', '4.25', '4.38', '4.12', '4.12', '3.88', '4.00', '3.50', '4.12', '4.25', '1.62', '3.00', '4.25', '4.25', '4.50', '4.38', '4.25', '4.25', '4.25', '4.25', '4.38', '4.12', '4.38', '4.12', '4.00', '1.62', '2.12', '2.00', '2.12', '4.25', '4.25', '4.25', '4.00', '4.00', '4.12', '4.12', '3.88', '4.12', '4.25', '3.62', '2.50', '3.00', '3.12', '4.00', '4.00', '4.25', '4.25', '4.00', '4.25', '4.50', '4.50', '4.50', '4.12', '4.25', '4.25', '2.25', '2.50']
packet_4K_cubic_1_30.txt  均值=4.5433  方差=0.7760707766666667  ['4.75', '4.88', '5.12', '5.12', '2.88', '3.50', '3.00', '3.12', '2.88', '4.38', '4.75', '5.75', '5.25', '5.12', '5.12', '5.25', '5.50', '4.38', '6.12', '3.75', '3.12', '4.25', '4.62', '5.75', '5.62', '5.50', '5.62', '5.25', '4.88', '6.00', '5.00', '5.00', '5.00', '5.00', '2.88', '3.38', '2.62', '4.00', '4.88', '4.88', '4.75', '4.25', '5.12', '5.25', '5.00', '4.88', '4.88', '4.88', '5.00', '2.88', '3.50', '3.88', '5.00', '5.00', '4.88', '5.00', '5.00', '5.12', '5.25', '5.38', '5.00', '5.12', '4.88', '5.00', '3.12', '3.12', '3.62', '5.25', '5.00', '5.12', '5.00', '5.12', '4.88', '5.00', '5.00', '5.12', '5.00', '5.12', '5.00', '3.25', '2.88', '3.12', '2.62', '3.12', '4.88', '4.88', '4.88', '5.00', '4.88', '5.00', '5.00', '5.00', '5.00', '5.12', '3.00', '3.12', '3.88', '4.88', '5.00', '4.88', '4.88', '5.00', '4.88', '5.00', '4.75', '5.00', '4.88', '5.00', '4.75', '3.00', '3.12', '4.00', '5.00', '5.00', '5.00', '4.88', '5.00', '5.00', '5.12', '5.00', '5.12', '5.25', '5.38', '5.12', '3.25', '2.88', '3.38', '5.00', '5.00', '4.88', '4.62', '4.88', '4.88', '5.00', '5.00', '4.88', '5.25', '5.25', '5.25', '3.25', '3.12', '3.00', '5.00', '4.88', '5.12', '5.38', '5.38', '5.25', '5.00', '5.12', '5.12', '5.25', '4.88', '5.12', '2.88', '3.38', '2.75', '3.38', '2.88', '4.50', '5.00', '4.88', '5.00', '4.88', '5.00', '5.00', '5.12', '5.00', '5.00', '2.88', '3.12', '4.38', '5.00', '5.12', '5.00', '5.38', '4.88', '5.12', '5.00', '3.12', '3.25', '3.25', '3.12', '3.50', '1.12', '1.12', '3.00', '3.12', '3.62', '3.75', '3.50', '3.38', '3.12', '3.50', '5.38', '5.38', '5.00', '5.12', '5.00', '3.25', '3.00', '4.75', '5.12', '5.00', '5.00', '4.88', '5.00', '4.88', '4.75', '5.00', '4.88', '5.00', '5.00', '5.00', '2.75', '3.38', '2.75', '5.00', '5.00', '4.88', '5.00', '5.12', '5.38', '5.25', '5.00', '5.00', '5.12', '5.12', '5.12', '2.88', '3.12', '2.88', '3.00', '3.25', '5.12', '5.25', '5.00', '5.12', '5.00', '5.12', '5.00', '5.00', '5.12', '5.00', '3.12', '3.00', '3.50', '5.25', '5.12', '5.12', '5.00', '5.00', '4.88', '5.25', '4.62', '5.12', '4.75', '5.00', '5.00', '3.12', '2.75', '4.00', '5.12', '4.88', '5.00', '5.25', '5.12', '5.25', '5.12', '5.00', '4.88', '5.12', '5.00', '5.00', '3.12', '3.38', '3.50', '5.25', '5.38', '5.25', '5.12', '4.88', '4.88', '5.12', '4.88', '5.00', '5.00', '5.00', '4.75', '2.88', '3.12', '4.25', '4.88', '5.12', '5.12', '5.00', '4.75', '5.00', '4.75', '5.12']
packet_4K_cubic_1_34.txt  均值=4.183366666666666  方差=0.6402123322222223  ['3.00', '3.25', '4.62', '4.50', '4.50', '4.75', '4.50', '4.50', '4.50', '4.62', '4.62', '2.88', '3.12', '3.12', '4.62', '4.75', '4.88', '4.75', '4.62', '4.62', '4.75', '4.75', '4.50', '4.50', '4.62', '4.50', '2.12', '2.25', '4.12', '4.38', '4.88', '4.50', '4.38', '4.75', '4.50', '4.50', '4.62', '4.62', '4.88', '4.38', '4.50', '2.88', '3.62', '2.75', '4.25', '4.50', '4.62', '4.50', '4.38', '4.50', '4.38', '4.25', '4.38', '4.50', '4.38', '4.62', '2.25', '2.00', '4.50', '4.75', '4.88', '4.75', '4.75', '4.50', '4.50', '4.50', '4.50', '4.38', '4.50', '4.75', '4.88', '3.00', '3.25', '2.88', '3.00', '2.75', '3.88', '4.50', '4.50', '4.62', '4.62', '4.62', '4.50', '4.62', '4.75', '4.50', '2.88', '2.75', '3.25', '4.62', '4.62', '4.50', '4.75', '4.62', '4.88', '4.75', '4.75', '4.88', '4.88', '4.50', '4.50', '2.62', '2.12', '4.12', '4.62', '4.50', '4.38', '4.50', '4.62', '4.25', '4.62', '4.50', '4.50', '4.62', '4.75', '4.25', '2.62', '1.62', '4.50', '4.62', '4.62', '4.50', '4.62', '4.50', '4.50', '4.38', '4.50', '4.62', '4.50', '4.50', '4.75', '2.38', '2.38', '3.00', '4.62', '4.50', '4.38', '4.75', '4.50', '4.62', '4.38', '4.50', '4.38', '4.62', '4.62', '4.88', '3.38', '3.00', '2.62', '3.12', '2.50', '3.50', '4.75', '4.88', '4.88', '4.88', '4.62', '4.75', '4.50', '4.50', '4.50', '2.75', '2.38', '4.38', '4.75', '4.50', '4.50', '4.38', '4.62', '4.75', '4.50', '4.75', '4.62', '4.62', '4.25', '4.75', '3.00', '3.12', '3.50', '4.62', '4.75', '4.88', '4.88', '4.62', '4.62', '4.62', '4.50', '4.62', '4.50', '4.75', '4.50', '2.25', '2.88', '4.62', '4.50', '4.62', '4.62', '4.62', '4.25', '4.62', '4.62', '4.38', '4.62', '4.62', '4.50', '5.00', '3.12', '2.38', '3.62', '4.62', '4.38', '4.50', '4.62', '4.38', '4.62', '4.62', '4.75', '4.88', '4.88', '4.75', '4.50', '2.38', '2.12', '2.12', '2.38', '4.62', '4.62', '4.75', '4.75', '4.88', '4.50', '4.62', '4.62', '4.50', '4.62', '4.38', '2.38', '1.38', '4.50', '4.75', '4.38', '4.75', '4.50', '4.25', '4.00', '3.75', '4.50', '4.50', '4.62', '4.75', '4.50', '2.50', '2.88', '3.75', '4.38', '4.62', '4.50', '4.62', '4.50', '4.62', '4.62', '4.75', '4.50', '4.50', '4.62', '4.88', '3.00', '3.12', '3.00', '4.50', '4.75', '4.62', '4.50', '4.62', '4.50', '4.50', '4.50', '4.50', '4.38', '3.12', '4.50', '2.88', '2.50', '4.62', '4.88', '4.38', '4.62', '4.50', '4.62', '3.88', '4.38', '4.25', '4.25', '4.38', '4.38', '4.50', '1.88', '1.88', '2.12', '2.12']
packet_4K_cubic_1_38.txt  均值=4.5944  方差=0.70334264  ['5.38', '5.12', '5.12', '5.00', '5.00', '5.00', '5.12', '5.25', '3.00', '3.50', '4.25', '5.38', '5.00', '5.00', '5.00', '5.00', '5.00', '5.12', '4.88', '5.12', '4.88', '5.62', '5.38', '3.62', '3.25', '2.88', '5.00', '5.00', '5.00', '5.00', '5.38', '5.50', '5.00', '5.12', '5.12', '5.00', '5.00', '5.00', '3.50', '3.00', '3.25', '4.00', '6.50', '5.38', '5.00', '4.88', '5.12', '5.00', '5.00', '5.00', '5.00', '4.88', '5.00', '3.12', '2.88', '2.75', '3.12', '5.75', '5.00', '4.75', '4.88', '5.00', '4.88', '4.88', '4.88', '4.75', '5.12', '5.38', '3.12', '2.75', '3.00', '2.62', '3.25', '3.88', '5.00', '5.25', '5.12', '5.00', '5.00', '5.12', '5.00', '5.12', '5.00', '3.38', '3.00', '3.50', '5.00', '5.00', '5.00', '5.00', '5.12', '4.75', '5.00', '5.50', '5.50', '5.38', '5.12', '5.12', '3.25', '3.12', '3.00', '3.00', '5.00', '5.00', '5.00', '4.88', '5.00', '5.00', '5.25', '4.88', '5.12', '5.00', '5.25', '3.12', '3.12', '3.50', '5.00', '5.12', '5.00', '4.88', '5.25', '5.00', '5.25', '5.38', '5.38', '4.88', '5.00', '4.88', '3.00', '3.12', '3.00', '2.88', '3.75', '5.12', '5.00', '5.12', '5.25', '4.75', '5.00', '5.00', '5.12', '5.12', '5.00', '3.50', '3.50', '2.88', '3.12', '3.00', '3.62', '4.62', '4.88', '4.62', '4.88', '5.00', '5.12', '5.00', '5.12', '5.00', '3.25', '3.25', '3.00', '3.12', '5.00', '5.12', '5.12', '5.00', '5.00', '5.00', '5.12', '5.25', '5.00', '5.25', '5.38', '3.25', '3.00', '3.25', '4.00', '5.00', '5.00', '5.00', '4.88', '4.88', '5.00', '5.25', '5.50', '5.25', '5.50', '5.25', '3.38', '3.50', '3.88', '5.25', '5.62', '5.00', '5.00', '5.25', '5.38', '4.88', '5.12', '5.00', '4.88', '5.00', '4.88', '3.25', '3.75', '2.88', '3.12', '5.12', '5.25', '5.00', '5.12', '5.00', '5.25', '5.25', '5.25', '5.00', '5.38', '5.25', '3.50', '3.00', '2.88', '3.38', '2.88', '4.25', '5.25', '5.12', '5.00', '5.12', '4.88', '5.25', '5.12', '5.12', '5.12', '3.38', '3.25', '3.50', '5.38', '5.25', '5.00', '5.00', '5.12', '5.00', '5.00', '5.25', '5.00', '5.00', '5.12', '5.12', '3.25', '3.38', '3.88', '5.00', '5.12', '4.88', '5.12', '5.00', '5.12', '5.12', '5.12', '5.12', '5.00', '5.25', '5.00', '3.25', '3.50', '3.25', '5.25', '4.88', '5.12', '4.75', '5.00', '4.62', '4.38', '5.00', '4.88', '5.25', '4.88', '5.00', '3.50', '3.38', '3.25', '4.50', '5.25', '5.25', '5.00', '5.00', '5.00', '5.12', '5.12', '4.50', '5.25', '5.00', '5.12', '3.12', '3.12', '2.75', '3.38', '2.75', '3.75', '5.00']
packet_4K_cubic_1_59.txt  均值=3.7953000000000006  方差=0.42055557666666665  ['4.00', '4.25', '4.25', '4.12', '4.25', '4.12', '4.00', '4.00', '4.00', '4.12', '4.25', '3.75', '2.62', '2.62', '4.12', '4.25', '4.38', '3.88', '4.25', '3.88', '4.00', '4.12', '4.12', '4.12', '4.00', '3.88', '3.38', '2.75', '2.75', '2.75', '2.25', '2.38', '4.12', '4.25', '4.00', '4.12', '4.00', '4.25', '4.38', '4.25', '4.00', '3.25', '2.62', '2.88', '3.75', '4.00', '4.12', '3.88', '3.88', '4.25', '4.00', '4.25', '4.00', '3.88', '4.12', '4.12', '3.38', '2.50', '2.88', '4.12', '4.12', '4.12', '4.12', '4.12', '4.25', '4.12', '4.12', '4.38', '4.50', '4.25', '4.12', '3.50', '2.50', '2.75', '4.00', '4.25', '4.25', '4.00', '4.12', '4.12', '4.25', '4.12', '4.00', '4.00', '4.00', '4.12', '3.50', '2.38', '2.88', '2.62', '4.00', '4.25', '4.38', '4.38', '4.25', '4.38', '4.50', '4.12', '4.25', '4.00', '4.50', '3.25', '2.88', '2.50', '2.88', '2.50', '2.50', '4.00', '4.38', '4.38', '3.88', '4.00', '4.38', '4.25', '4.00', '4.00', '3.25', '2.62', '3.12', '4.25', '4.12', '4.12', '3.88', '4.12', '4.12', '4.12', '4.12', '4.12', '4.00', '4.25', '3.88', '3.12', '2.38', '3.00', '4.25', '4.12', '4.12', '4.00', '4.00', '3.88', '4.00', '4.25', '3.88', '3.88', '4.00', '4.38', '3.62', '2.50', '3.12', '3.62', '4.25', '4.38', '4.38', '4.25', '4.25', '4.00', '4.00', '4.12', '4.00', '4.12', '4.38', '3.50', '2.50', '3.00', '3.88', '4.00', '4.25', '4.00', '4.00', '4.25', '4.00', '3.88', '4.00', '3.88', '4.12', '4.00', '3.12', '1.50', '1.88', '2.00', '3.12', '4.25', '4.00', '4.00', '4.12', '4.25', '4.00', '4.25', '4.25', '4.50', '4.25', '3.00', '1.25', '4.00', '4.00', '4.12', '3.88', '4.00', '4.12', '4.00', '4.12', '4.00', '4.25', '3.75', '3.75', '4.12', '3.38', '2.50', '2.88', '3.62', '4.12', '4.12', '4.12', '4.12', '4.12', '4.00', '4.00', '4.12', '4.00', '4.12', '4.25', '3.62', '2.50', '2.75', '3.75', '4.12', '4.25', '4.00', '4.25', '4.00', '4.00', '4.00', '4.25', '4.25', '4.12', '4.12', '3.25', '2.88', '2.88', '3.88', '4.00', '4.00', '4.25', '3.88', '4.00', '4.38', '4.25', '4.12', '4.00', '4.00', '3.88', '2.88', '1.62', '1.62', '1.50', '3.00', '4.00', '4.12', '4.00', '4.12', '4.38', '4.25', '4.12', '4.25', '3.88', '4.25', '3.50', '2.62', '2.50', '4.38', '4.12', '4.00', '4.12', '4.00', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '4.12', '3.25', '1.50', '3.50', '4.00', '4.12', '4.12', '4.12', '4.25', '4.12', '3.88', '4.00', '4.38', '4.38', '4.25', '4.12', '3.25', '1.50', '4.00', '4.00']
