packet_4K_bbr_0_36.txt  均值=3.6229666666666662  方差=0.5877221988888889  ['3.63', '4.38', '4.38', '4.25', '4.25', '2.88', '2.50', '2.75', '4.25', '4.25', '4.38', '4.12', '4.38', '4.25', '4.25', '4.38', '4.38', '4.38', '4.12', '4.00', '3.00', '2.38', '2.25', '4.00', '3.75', '3.62', '3.50', '3.88', '4.00', '4.00', '3.62', '4.00', '4.25', '4.25', '4.12', '3.25', '2.25', '2.75', '2.12', '2.00', '3.75', '3.75', '4.62', '4.12', '4.00', '3.62', '3.88', '3.75', '3.50', '3.75', '3.25', '2.50', '2.88', '4.25', '4.25', '4.12', '4.12', '4.25', '4.12', '3.12', '4.12', '4.00', '4.38', '4.38', '4.25', '3.12', '2.12', '2.50', '2.62', '4.25', '4.38', '4.25', '3.88', '4.38', '3.75', '3.88', '3.75', '3.62', '4.00', '4.12', '3.00', '1.50', '2.00', '4.38', '4.75', '4.12', '4.25', '4.38', '4.25', '3.88', '4.12', '4.00', '4.38', '4.25', '4.00', '3.00', '1.62', '2.12', '3.50', '3.88', '3.75', '4.00', '4.00', '4.25', '4.00', '3.62', '4.25', '4.25', '4.12', '3.38', '3.25', '2.00', '2.25', '1.62', '1.88', '3.75', '3.50', '3.38', '4.12', '3.75', '3.50', '3.75', '3.38', '4.12', '4.25', '2.88', '1.88', '2.38', '4.00', '4.25', '4.00', '4.25', '3.75', '4.12', '4.12', '4.00', '3.88', '4.00', '3.88', '4.12', '2.38', '2.38', '2.25', '4.00', '4.00', '4.12', '4.12', '4.12', '4.12', '3.88', '3.62', '4.00', '3.50', '3.38', '3.88', '2.88', '2.25', '2.12', '3.88', '4.25', '4.00', '3.50', '3.25', '3.88', '3.62', '4.38', '3.88', '4.25', '2.75', '4.38', '3.38', '2.50', '2.12', '3.12', '4.25', '4.12', '3.88', '4.12', '3.75', '4.00', '3.00', '4.00', '4.25', '3.75', '3.75', '2.25', '2.38', '2.25', '2.00', '2.25', '4.00', '4.25', '4.25', '3.88', '4.38', '4.00', '3.62', '4.25', '3.75', '3.50', '2.75', '1.38', '2.75', '4.25', '4.12', '4.25', '4.38', '4.25', '4.25', '4.00', '4.25', '4.25', '4.25', '4.25', '4.00', '2.62', '2.62', '2.38', '3.75', '4.12', '4.12', '4.25', '4.12', '4.12', '4.12', '2.75', '4.12', '4.62', '4.00', '4.00', '3.12', '2.25', '1.75', '3.88', '3.75', '3.75', '2.38', '3.88', '3.88', '4.38', '4.25', '3.88', '4.25', '4.38', '3.75', '3.38', '1.00', '2.38', '3.50', '4.12', '4.12', '4.38', '4.00', '4.00', '4.25', '4.00', '4.25', '4.12', '4.25', '4.12', '2.88', '2.38', '2.38', '2.12', '1.75', '3.75', '4.12', '4.25', '3.38', '3.88', '4.12', '4.25', '4.12', '4.00', '4.00', '2.62', '2.38', '2.50', '3.75', '4.25', '3.88', '3.75', '3.50', '4.12', '4.12', '3.50', '3.88', '3.75', '4.00', '3.62', '2.75', '2.38', '1.38', '3.62', '4.00', '4.25', '4.25', '4.12', '3.00', '4.12']
packet_4K_bbr_0_38.txt  均值=4.004083333333333  方差=0.7560290763888889  ['4.00', '4.50', '4.62', '3.25', '2.50', '2.88', '3.50', '4.38', '4.25', '4.50', '4.62', '4.38', '4.62', '4.50', '4.50', '3.50', '4.50', '4.25', '3.50', '2.62', '2.62', '2.75', '2.75', '3.38', '4.62', '4.62', '4.62', '4.62', '4.50', '4.62', '4.50', '4.62', '4.62', '2.12', '1.25', '3.25', '4.25', '4.12', '4.50', '4.75', '4.50', '4.38', '4.25', '4.38', '4.50', '3.50', '4.12', '4.50', '3.12', '1.25', '3.50', '4.38', '4.12', '4.38', '4.75', '4.25', '4.50', '4.50', '4.50', '4.75', '4.25', '4.38', '4.38', '3.38', '2.38', '2.00', '4.62', '4.25', '4.50', '4.62', '4.38', '4.38', '4.62', '4.25', '4.62', '4.50', '4.75', '4.62', '3.00', '1.38', '3.88', '4.25', '4.50', '3.88', '4.50', '4.50', '4.38', '4.50', '4.38', '4.50', '4.38', '4.62', '4.50', '3.38', '2.75', '2.25', '2.38', '2.38', '3.50', '4.50', '4.38', '3.62', '4.50', '4.38', '4.25', '4.38', '4.62', '4.62', '3.62', '2.75', '2.50', '4.50', '3.88', '4.88', '4.38', '4.50', '4.38', '4.50', '4.62', '4.12', '4.62', '4.38', '4.50', '2.62', '0.500', '3.25', '4.38', '4.00', '4.62', '4.38', '3.62', '4.38', '4.62', '4.25', '4.25', '4.25', '4.75', '4.12', '2.75', '1.62', '4.00', '4.50', '4.88', '4.62', '4.50', '4.62', '4.50', '4.38', '4.62', '3.62', '4.38', '4.25', '4.38', '3.50', '2.38', '2.75', '3.62', '4.50', '4.62', '4.50', '4.50', '4.50', '4.25', '3.62', '4.50', '4.50', '4.12', '4.38', '3.38', '2.25', '3.00', '2.25', '2.38', '3.00', '4.62', '4.38', '4.62', '4.25', '3.62', '4.75', '4.38', '4.38', '4.50', '3.00', '2.00', '4.00', '4.50', '4.38', '4.75', '4.50', '4.38', '4.62', '4.38', '4.62', '4.38', '4.50', '4.12', '4.25', '2.75', '1.12', '4.38', '3.25', '4.12', '4.50', '4.50', '4.75', '4.50', '4.38', '4.38', '4.38', '4.38', '4.62', '4.50', '3.38', '0.875', '2.62', '3.75', '4.25', '4.62', '4.25', '4.25', '4.50', '4.62', '4.38', '4.50', '4.75', '4.75', '4.38', '3.12', '1.50', '3.12', '4.50', '4.50', '4.62', '4.62', '4.38', '3.75', '4.62', '4.38', '4.75', '4.38', '4.50', '4.62', '3.00', '1.62', '1.88', '2.00', '2.75', '4.38', '4.38', '4.38', '4.62', '4.50', '4.50', '4.75', '4.38', '4.75', '4.62', '2.75', '1.50', '4.38', '4.50', '4.50', '4.62', '4.38', '4.25', '4.50', '4.50', '4.50', '4.62', '3.38', '4.75', '4.25', '3.50', '2.62', '2.62', '3.75', '4.50', '4.50', '4.50', '4.62', '4.62', '4.75', '4.62', '4.62', '4.50', '4.62', '4.50', '3.25', '1.38', '3.38', '4.75', '4.62', '4.50', '4.38', '4.62', '3.88', '4.25', '4.62', '4.50']
packet_4K_bbr_0_41.txt  均值=4.146933333333333  方差=0.7574012622222221  ['4.38', '4.75', '4.62', '4.88', '4.88', '4.62', '5.00', '4.62', '2.38', '3.12', '3.00', '4.12', '4.88', '4.50', '4.75', '4.62', '4.75', '3.75', '4.38', '4.62', '4.75', '4.38', '4.75', '1.62', '1.62', '4.50', '4.75', '4.75', '4.62', '4.62', '4.62', '4.50', '4.62', '4.62', '4.75', '3.88', '4.62', '4.88', '2.50', '3.00', '2.50', '4.50', '4.50', '4.62', '4.75', '4.62', '4.75', '4.50', '4.25', '4.00', '4.75', '4.50', '4.62', '2.50', '3.25', '3.00', '4.75', '4.62', '4.50', '3.75', '4.62', '4.62', '4.38', '4.50', '4.62', '4.75', '4.62', '4.62', '2.75', '3.12', '2.50', '2.62', '3.12', '3.25', '4.50', '4.50', '4.88', '4.75', '4.50', '4.50', '4.62', '4.75', '4.88', '2.62', '3.25', '3.12', '4.12', '4.50', '4.62', '4.62', '4.75', '4.75', '4.75', '5.00', '4.75', '4.75', '4.75', '4.75', '2.62', '3.12', '2.75', '4.38', '4.38', '4.50', '4.75', '4.75', '4.88', '4.88', '4.50', '4.38', '4.75', '4.38', '4.75', '1.38', '2.75', '3.62', '4.38', '4.50', '5.00', '4.25', '4.75', '4.50', '4.50', '4.50', '4.62', '4.62', '4.50', '4.62', '1.25', '1.75', '3.75', '4.50', '4.62', '4.62', '4.62', '4.38', '4.75', '4.50', '4.38', '4.62', '4.38', '4.75', '4.62', '2.38', '2.38', '2.62', '2.88', '2.50', '4.00', '4.50', '4.50', '4.38', '4.00', '4.38', '4.88', '4.62', '4.75', '4.88', '1.62', '3.12', '2.62', '3.88', '4.75', '4.50', '4.62', '4.50', '4.62', '4.88', '4.75', '4.50', '4.50', '4.38', '4.50', '2.50', '3.12', '3.25', '4.62', '4.75', '3.75', '4.50', '4.62', '4.50', '4.75', '4.75', '4.50', '4.75', '4.50', '4.62', '2.25', '2.00', '3.50', '4.62', '4.62', '4.88', '4.75', '4.50', '4.75', '4.62', '4.75', '4.75', '3.75', '4.62', '4.50', '1.62', '2.25', '4.75', '4.88', '4.88', '4.75', '4.88', '4.50', '4.75', '4.62', '4.25', '4.25', '3.50', '4.50', '4.62', '2.38', '3.00', '2.88', '2.75', '2.75', '4.12', '4.75', '4.62', '4.38', '4.50', '4.62', '4.25', '4.88', '4.62', '4.75', '2.50', '3.00', '3.25', '4.75', '4.50', '4.38', '4.62', '4.50', '4.62', '3.88', '4.38', '4.50', '4.62', '4.50', '4.50', '1.75', '2.62', '4.62', '4.62', '4.25', '4.50', '4.75', '4.75', '4.62', '4.75', '4.75', '4.62', '4.62', '4.50', '4.50', '1.75', '2.12', '4.62', '3.00', '4.62', '4.62', '4.62', '4.62', '4.75', '4.75', '4.50', '4.75', '4.75', '4.88', '4.75', '2.38', '3.25', '2.88', '4.75', '4.88', '4.62', '4.62', '4.50', '3.88', '4.62', '4.38', '4.75', '4.75', '4.75', '4.62', '2.75', '2.50', '2.50', '2.88', '2.38', '4.00', '4.62']
packet_4K_bbr_0_43.txt  均值=3.607116666666667  方差=0.6604074363888888  ['3.88', '4.12', '4.25', '4.38', '3.88', '3.88', '4.12', '1.12', '1.75', '4.38', '3.12', '3.88', '3.62', '4.00', '3.50', '4.00', '3.62', '4.00', '3.88', '3.50', '3.62', '3.75', '1.25', '1.62', '3.75', '3.75', '3.75', '3.88', '4.00', '4.38', '4.00', '4.00', '4.38', '4.12', '4.12', '4.00', '3.38', '1.50', '2.00', '4.38', '4.12', '3.88', '4.38', '4.12', '3.25', '3.75', '4.25', '4.25', '4.25', '3.62', '3.75', '4.00', '1.38', '1.75', '4.00', '4.25', '4.50', '4.12', '3.38', '4.12', '3.75', '3.88', '3.62', '3.62', '3.62', '4.12', '4.50', '2.88', '2.25', '2.12', '2.50', '2.50', '3.12', '3.75', '4.12', '3.88', '3.25', '3.00', '4.12', '3.88', '4.00', '4.38', '2.12', '3.12', '2.62', '3.75', '4.12', '4.25', '4.62', '3.75', '3.88', '4.50', '4.12', '3.88', '4.38', '4.00', '4.38', '2.38', '2.75', '2.50', '3.88', '3.50', '4.12', '3.88', '3.25', '3.88', '4.12', '4.25', '4.12', '4.25', '4.12', '4.00', '2.25', '3.12', '2.75', '4.38', '3.38', '4.00', '4.00', '4.12', '4.00', '4.25', '3.88', '4.12', '3.62', '3.88', '4.00', '1.00', '1.88', '3.75', '4.50', '4.00', '3.50', '4.25', '4.25', '3.88', '4.12', '3.75', '4.00', '4.12', '4.38', '3.88', '1.38', '1.50', '1.50', '2.00', '4.25', '4.12', '4.00', '3.50', '3.75', '3.75', '4.00', '4.25', '4.12', '4.38', '3.00', '2.38', '2.62', '2.62', '3.88', '4.00', '4.00', '4.38', '4.12', '4.38', '4.25', '4.25', '3.50', '3.88', '3.75', '4.50', '2.25', '3.00', '2.75', '4.38', '4.50', '4.50', '3.75', '4.12', '4.25', '3.75', '4.12', '4.38', '4.00', '3.75', '2.75', '0.875', '2.00', '3.38', '4.50', '4.00', '4.38', '4.38', '3.75', '3.88', '4.50', '4.38', '4.50', '4.25', '4.12', '3.50', '1.88', '1.88', '4.12', '4.00', '4.25', '4.00', '4.50', '2.88', '4.38', '3.88', '3.50', '4.38', '4.25', '3.50', '3.75', '1.50', '2.12', '1.88', '2.00', '3.88', '3.88', '4.25', '3.88', '4.12', '3.75', '3.62', '4.50', '4.12', '4.00', '3.88', '2.00', '2.62', '2.62', '3.50', '4.62', '3.88', '4.00', '3.75', '3.62', '3.62', '3.75', '3.62', '3.88', '3.62', '4.00', '2.12', '2.50', '3.00', '3.88', '4.00', '4.00', '4.00', '4.25', '4.12', '3.62', '3.75', '3.88', '4.25', '3.25', '3.38', '2.12', '3.12', '3.12', '3.50', '4.25', '3.88', '4.12', '4.25', '4.25', '3.25', '3.75', '4.12', '4.25', '4.38', '3.38', '1.50', '1.62', '3.25', '3.88', '3.88', '3.88', '4.12', '3.88', '4.12', '3.88', '4.38', '3.75', '3.75', '3.75', '4.12', '2.12', '2.62', '2.50', '2.50', '2.12', '3.00', '3.12', '4.38']
packet_4K_bbr_0_48.txt  均值=4.059966666666668  方差=0.6054036655555555  ['4.75', '4.62', '4.62', '4.50', '4.38', '2.62', '3.38', '2.75', '4.38', '4.50', '4.50', '3.25', '4.50', '4.75', '4.38', '4.50', '4.38', '4.50', '4.50', '4.12', '2.50', '3.25', '3.50', '3.62', '4.62', '4.50', '4.75', '4.50', '4.38', '4.25', '4.50', '4.50', '4.38', '4.38', '3.00', '1.25', '3.12', '4.50', '4.50', '4.50', '4.50', '4.75', '4.50', '4.25', '4.75', '4.62', '4.25', '4.75', '4.75', '4.00', '2.75', '3.12', '3.38', '4.50', '4.38', '4.62', '4.62', '3.75', '4.38', '4.50', '4.62', '4.62', '4.75', '4.50', '4.12', '3.00', '2.62', '2.38', '3.00', '2.75', '3.62', '4.50', '4.38', '4.62', '4.62', '3.12', '4.62', '4.62', '4.50', '4.38', '2.75', '3.12', '2.88', '4.75', '4.62', '4.75', '4.75', '4.50', '4.25', '4.50', '4.75', '4.62', '4.62', '4.62', '4.38', '2.50', '3.25', '3.38', '4.62', '4.62', '3.38', '4.50', '4.75', '4.75', '4.62', '4.38', '4.50', '4.62', '5.00', '4.12', '2.88', '3.25', '2.62', '4.25', '4.62', '4.75', '4.38', '4.38', '4.50', '4.75', '4.50', '4.88', '4.38', '4.50', '4.62', '2.50', '3.25', '2.75', '4.75', '4.75', '4.62', '3.50', '4.88', '4.62', '4.50', '4.62', '4.50', '4.38', '4.75', '4.25', '2.75', '2.38', '2.62', '2.75', '2.50', '4.38', '4.50', '4.25', '4.62', '4.62', '4.38', '4.62', '4.50', '4.25', '4.00', '2.50', '3.50', '3.38', '4.75', '4.25', '4.62', '4.50', '4.62', '4.50', '4.75', '4.75', '4.62', '4.50', '4.38', '4.00', '2.12', '2.88', '2.62', '3.62', '4.75', '4.38', '4.62', '4.62', '4.75', '4.38', '4.75', '4.25', '4.62', '4.50', '3.62', '1.25', '2.38', '4.62', '4.50', '4.25', '4.50', '4.50', '4.62', '4.50', '4.62', '4.62', '4.50', '4.62', '4.50', '4.38', '2.25', '3.12', '2.88', '4.75', '4.62', '4.50', '4.25', '3.88', '4.62', '4.38', '4.38', '4.38', '4.62', '4.50', '4.00', '2.62', '2.38', '2.50', '2.25', '2.75', '3.38', '4.50', '4.75', '4.38', '4.62', '4.38', '4.38', '4.62', '4.38', '4.00', '2.25', '2.75', '2.88', '3.25', '4.25', '4.38', '4.12', '4.50', '4.50', '4.38', '4.12', '4.38', '4.50', '4.38', '4.38', '2.25', '2.88', '2.00', '4.62', '4.38', '4.50', '4.62', '4.38', '4.38', '4.50', '4.50', '4.38', '4.50', '3.62', '4.25', '2.50', '3.12', '3.38', '4.38', '4.62', '4.38', '4.62', '4.50', '4.38', '4.38', '4.50', '4.88', '4.62', '4.50', '4.12', '2.25', '3.38', '3.50', '4.50', '4.00', '3.88', '4.50', '4.50', '4.62', '4.38', '4.75', '4.25', '4.38', '4.50', '3.88', '2.75', '3.00', '2.38', '2.75', '2.75', '3.75', '4.25', '4.50', '4.38', '4.38']
packet_4K_bbr_0_51.txt  均值=4.046733333333333  方差=0.6975006622222223  ['4.25', '4.38', '2.12', '1.50', '4.25', '4.50', '4.62', '4.50', '4.50', '4.50', '4.50', '4.75', '4.62', '4.00', '4.50', '4.62', '4.50', '2.50', '2.62', '3.00', '4.50', '4.38', '4.50', '3.25', '4.38', '4.62', '4.62', '4.25', '4.62', '4.50', '4.62', '4.50', '2.00', '2.12', '1.75', '1.75', '4.62', '4.38', '4.50', '4.62', '3.50', '4.38', '4.50', '4.62', '4.62', '4.12', '4.62', '2.88', '2.62', '3.00', '4.00', '4.50', '4.75', '4.25', '4.50', '4.38', '4.50', '4.12', '4.50', '4.25', '4.12', '4.75', '2.88', '2.88', '2.88', '4.25', '4.38', '4.62', '4.50', '4.38', '4.50', '4.50', '4.50', '4.75', '4.75', '4.62', '3.50', '2.00', '2.25', '4.62', '4.50', '4.62', '4.75', '4.38', '4.62', '4.12', '4.62', '4.75', '4.00', '4.25', '4.75', '4.75', '3.12', '3.00', '2.75', '3.88', '4.62', '4.75', '4.62', '3.75', '4.50', '4.50', '4.38', '4.50', '4.62', '4.62', '4.50', '2.75', '3.00', '2.50', '2.50', '3.12', '3.25', '4.12', '4.12', '4.38', '4.38', '4.88', '4.75', '4.38', '4.50', '4.50', '2.00', '2.12', '2.88', '4.25', '4.50', '4.38', '4.50', '4.25', '4.62', '4.38', '4.25', '4.38', '3.62', '4.62', '4.75', '2.62', '3.12', '2.88', '4.50', '4.50', '4.62', '4.38', '3.75', '4.25', '4.50', '4.50', '4.88', '4.50', '4.62', '4.50', '1.88', '1.50', '4.88', '4.75', '4.38', '4.75', '4.50', '4.50', '4.62', '4.50', '4.62', '4.75', '3.62', '4.50', '4.62', '2.25', '1.62', '3.50', '4.62', '4.62', '4.50', '4.38', '4.50', '4.75', '4.38', '4.38', '4.62', '3.75', '4.38', '4.62', '2.62', '2.88', '2.38', '2.50', '2.88', '3.50', '4.62', '4.38', '4.50', '4.50', '4.62', '4.50', '4.62', '4.50', '4.50', '2.50', '2.38', '2.88', '4.50', '4.50', '4.50', '4.50', '4.50', '4.50', '4.25', '4.62', '4.38', '4.50', '4.62', '4.25', '1.88', '2.25', '4.62', '4.62', '4.50', '4.38', '4.25', '4.25', '4.50', '4.62', '4.38', '4.50', '4.00', '4.00', '4.62', '2.88', '2.62', '3.00', '4.50', '4.75', '4.62', '4.88', '4.38', '4.38', '4.50', '4.38', '4.50', '4.38', '4.50', '4.50', '2.38', '2.12', '2.50', '4.50', '4.50', '4.38', '4.50', '4.88', '4.12', '4.50', '4.62', '4.62', '4.50', '4.38', '3.75', '2.75', '3.25', '2.62', '2.75', '2.75', '3.50', '4.62', '4.50', '4.38', '4.50', '4.50', '4.50', '4.38', '4.62', '4.62', '3.25', '2.62', '2.00', '3.75', '4.62', '4.25', '4.62', '4.50', '4.75', '4.75', '4.50', '4.38', '4.62', '4.75', '4.75', '2.88', '2.88', '2.75', '4.38', '4.62', '4.62', '4.38', '4.62', '3.50', '4.75', '4.62', '4.12', '4.62']
packet_4K_bbr_0_8.txt  均值=3.8587000000000002  方差=0.45734464333333336  ['4.00', '4.50', '4.12', '3.62', '2.25', '3.00', '3.75', '4.00', '4.50', '4.25', '4.25', '3.38', '4.00', '4.12', '4.50', '4.12', '4.38', '4.38', '3.75', '2.12', '3.00', '4.25', '4.25', '4.50', '4.12', '4.12', '4.00', '3.75', '3.75', '4.50', '4.25', '3.88', '4.38', '3.88', '2.38', '2.62', '4.38', '4.25', '4.12', '4.12', '4.12', '4.12', '4.38', '4.12', '4.25', '4.38', '4.12', '4.62', '3.62', '2.12', '2.75', '4.12', '3.50', '4.38', '4.50', '4.38', '4.12', '4.25', '4.12', '4.50', '4.12', '4.38', '4.25', '3.75', '2.50', '1.38', '2.62', '2.50', '3.00', '4.25', '4.12', '3.75', '4.38', '4.25', '4.25', '4.25', '4.50', '4.12', '3.75', '2.25', '3.00', '3.38', '4.38', '4.25', '4.38', '4.38', '4.38', '4.12', '4.38', '4.38', '4.25', '4.25', '4.25', '3.88', '2.62', '2.38', '3.75', '4.38', '4.25', '4.25', '4.25', '4.25', '4.38', '4.38', '4.50', '4.12', '4.25', '4.25', '3.88', '2.25', '3.25', '4.00', '4.38', '3.38', '4.25', '4.25', '4.12', '4.12', '4.25', '4.00', '4.12', '4.25', '4.38', '3.88', '2.25', '2.88', '3.62', '4.25', '4.38', '4.25', '4.12', '4.38', '4.25', '4.38', '4.12', '4.38', '4.50', '4.25', '3.75', '2.50', '2.38', '2.50', '2.62', '3.75', '4.50', '3.88', '4.38', '4.25', '3.62', '4.50', '4.25', '4.25', '4.38', '3.62', '2.62', '2.50', '3.50', '4.25', '4.50', '4.12', '3.38', '4.25', '4.12', '4.38', '4.38', '4.25', '4.38', '4.25', '3.75', '2.12', '3.38', '4.38', '4.25', '4.25', '4.12', '4.12', '4.50', '4.25', '4.25', '4.12', '3.25', '4.12', '4.38', '3.88', '2.62', '2.88', '4.38', '4.50', '4.25', '4.50', '4.25', '3.62', '4.25', '4.25', '4.25', '4.38', '4.25', '4.38', '4.00', '3.12', '3.00', '3.38', '4.50', '4.25', '4.50', '4.38', '4.25', '4.38', '3.38', '4.38', '4.38', '4.38', '4.12', '3.88', '2.12', '2.25', '2.75', '2.12', '3.00', '4.12', '4.25', '4.00', '4.00', '4.12', '4.12', '4.12', '4.12', '4.12', '3.62', '2.38', '2.00', '2.75', '4.12', '4.25', '4.25', '4.25', '4.00', '4.00', '4.38', '4.38', '4.00', '4.25', '4.12', '3.62', '2.12', '2.38', '3.50', '4.25', '4.25', '4.38', '3.75', '4.50', '3.38', '4.12', '4.25', '4.12', '4.25', '4.12', '3.75', '2.25', '2.75', '3.88', '4.12', '4.25', '4.12', '4.25', '4.12', '3.25', '4.00', '4.50', '3.88', '4.00', '4.25', '4.12', '3.12', '3.00', '3.12', '3.62', '4.12', '4.38', '4.25', '4.12', '4.38', '4.00', '3.50', '4.12', '4.25', '4.25', '3.75', '2.50', '2.25', '2.62', '2.25', '2.25', '4.50', '4.00', '3.38', '4.00', '4.38', '4.12']
packet_4K_bbr_1_16.txt  均值=3.8834666666666666  方差=0.6989253155555556  ['1.88', '4.25', '4.38', '4.38', '4.50', '4.38', '4.50', '4.62', '4.88', '2.88', '2.50', '2.38', '2.62', '3.75', '2.50', '2.62', '2.75', '2.75', '3.25', '4.62', '4.62', '4.50', '4.38', '4.50', '4.38', '4.25', '4.50', '4.62', '3.00', '2.50', '2.50', '2.50', '4.50', '4.12', '4.50', '4.38', '4.38', '4.25', '4.50', '4.38', '4.62', '3.88', '4.25', '3.38', '2.12', '2.50', '2.62', '3.88', '4.62', '4.50', '4.50', '4.12', '4.38', '4.25', '4.50', '4.62', '3.62', '4.62', '4.12', '2.12', '3.00', '2.38', '3.75', '4.12', '4.50', '4.38', '4.25', '4.25', '3.62', '4.50', '4.25', '4.50', '4.50', '3.88', '2.00', '2.25', '2.62', '3.88', '4.38', '4.00', '3.62', '4.38', '4.25', '2.25', '2.25', '2.50', '2.50', '2.50', '3.25', '2.50', '2.25', '4.38', '4.50', '4.50', '4.50', '4.38', '4.62', '4.50', '4.50', '4.50', '3.12', '4.50', '4.62', '4.12', '2.38', '2.62', '2.75', '4.38', '4.50', '3.38', '3.75', '4.62', '4.62', '4.50', '4.62', '4.62', '4.25', '4.62', '4.25', '2.50', '2.88', '2.50', '4.12', '4.50', '4.50', '3.75', '4.25', '4.50', '4.25', '4.50', '4.50', '4.38', '4.50', '4.12', '2.50', '2.75', '3.75', '4.62', '4.50', '4.38', '4.50', '4.88', '4.62', '4.38', '4.62', '4.62', '4.62', '4.62', '4.12', '2.75', '2.50', '2.75', '2.25', '2.38', '4.00', '3.00', '4.25', '4.38', '4.25', '4.12', '4.00', '4.50', '4.50', '4.00', '2.50', '2.75', '3.50', '4.38', '4.50', '4.38', '4.12', '4.50', '4.62', '4.62', '4.50', '4.62', '4.62', '4.38', '4.00', '2.50', '3.00', '2.75', '3.50', '4.38', '3.50', '4.62', '4.50', '4.62', '4.50', '4.12', '4.50', '4.38', '4.12', '4.00', '2.25', '2.50', '3.62', '4.50', '4.62', '4.75', '4.25', '4.38', '4.75', '4.62', '4.25', '4.00', '3.88', '4.50', '3.88', '2.38', '2.75', '2.62', '3.75', '4.38', '4.38', '4.25', '4.62', '4.50', '4.62', '4.50', '4.50', '4.25', '4.50', '4.00', '2.88', '2.88', '2.38', '2.25', '2.62', '4.50', '4.62', '4.62', '4.12', '4.25', '4.62', '4.50', '4.62', '3.62', '4.00', '2.38', '3.00', '2.50', '4.50', '4.25', '4.00', '4.25', '4.38', '4.25', '3.62', '4.62', '4.50', '4.25', '3.88', '2.38', '1.00', '2.50', '4.25', '4.62', '4.38', '3.75', '4.25', '4.75', '4.38', '4.50', '4.50', '4.38', '4.50', '4.50', '4.12', '1.00', '1.88', '3.75', '4.62', '4.62', '4.62', '3.88', '4.00', '4.50', '4.38', '4.25', '4.38', '4.50', '4.12', '3.88', '2.62', '2.62', '2.25', '4.25', '4.00', '4.12', '4.38', '4.50', '4.12', '4.62', '4.12', '4.00', '4.50', '4.25', '4.25', '3.12']
packet_4K_bbr_1_18.txt  均值=5.0225  方差=1.12940075  ['6.13', '6.25', '6.25', '5.50', '5.62', '5.25', '5.12', '5.00', '6.00', '5.88', '4.75', '5.50', '3.38', '3.50', '3.62', '5.62', '5.75', '5.62', '5.75', '5.00', '5.75', '5.75', '5.75', '5.12', '4.62', '5.50', '5.25', '2.62', '3.00', '3.50', '3.75', '5.50', '5.88', '5.25', '5.75', '4.88', '4.88', '5.50', '5.50', '5.50', '4.25', '5.75', '2.75', '3.00', '2.88', '3.62', '3.75', '5.12', '5.62', '6.12', '5.88', '5.75', '5.50', '5.75', '6.12', '5.50', '5.25', '3.38', '4.00', '2.88', '3.25', '2.88', '5.62', '5.38', '5.50', '5.75', '5.50', '5.50', '5.50', '5.38', '5.50', '5.50', '3.00', '3.38', '3.38', '5.38', '5.62', '5.75', '5.38', '5.12', '5.50', '6.00', '6.00', '5.88', '6.00', '4.75', '5.50', '2.88', '3.12', '3.38', '4.75', '5.12', '6.00', '5.88', '6.12', '4.38', '5.75', '5.75', '5.88', '5.50', '5.75', '5.75', '3.00', '3.38', '2.88', '3.62', '5.75', '5.50', '5.50', '6.00', '6.00', '5.38', '5.50', '5.88', '5.75', '5.62', '6.00', '3.25', '3.75', '3.50', '5.88', '5.75', '5.75', '5.62', '5.50', '5.75', '5.88', '5.62', '4.50', '5.50', '5.88', '5.12', '3.00', '3.38', '3.12', '3.25', '2.88', '4.88', '5.62', '5.62', '5.62', '5.62', '5.75', '6.00', '5.88', '5.00', '5.50', '3.12', '3.50', '3.50', '5.88', '5.62', '5.88', '6.12', '6.12', '4.50', '5.88', '6.00', '6.12', '6.00', '5.62', '5.88', '3.12', '3.38', '3.00', '5.62', '6.00', '6.00', '6.12', '6.00', '5.88', '5.12', '5.75', '5.25', '4.75', '5.50', '5.62', '3.38', '3.75', '3.88', '5.25', '5.75', '5.88', '5.50', '5.75', '5.50', '6.12', '5.50', '5.25', '5.75', '5.50', '5.12', '3.12', '3.38', '3.25', '5.75', '5.50', '5.50', '5.38', '5.88', '5.62', '5.38', '5.75', '5.75', '5.38', '4.62', '5.62', '3.25', '3.50', '3.38', '3.38', '3.00', '5.00', '6.25', '6.00', '5.88', '5.75', '5.00', '6.00', '5.50', '5.62', '5.38', '3.12', '2.50', '3.75', '6.00', '5.88', '5.62', '5.75', '5.50', '5.75', '5.62', '5.75', '5.50', '6.00', '4.50', '5.62', '3.12', '3.50', '3.88', '5.62', '5.75', '5.50', '5.62', '5.62', '5.75', '5.75', '5.50', '6.12', '5.88', '6.00', '5.50', '3.25', '3.62', '3.00', '3.88', '5.62', '5.75', '5.62', '4.50', '6.00', '6.12', '6.00', '6.12', '6.25', '6.00', '5.50', '3.25', '3.25', '3.25', '4.88', '5.50', '5.88', '6.12', '4.75', '5.62', '5.75', '5.75', '5.50', '5.75', '5.50', '5.38', '3.38', '3.00', '2.88', '3.12', '3.38', '4.00', '5.62', '5.38', '5.75', '5.38', '5.62', '5.38', '5.38', '5.50', '5.38', '2.00', '3.50', '3.62']
